Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Spread,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
"Foreign direct investment, net inflows (% of GDP)",0,0.0,0.0,float64,60,60,0,-4.085,9.12,13.204999999999998,1.752,1.728,2.227,3.237,0.527
"Foreign direct investment, net inflows (BoP, current US$)",0,0.0,0.0,float64,60,60,0,-288109270.997,511434000000.0,511722109270.997,117308799275.564,48343750971.686,148921724157.784,0.156,1.179
"Foreign direct investment, net outflows (% of GDP)",0,0.0,0.0,float64,60,60,0,-5.334,5.711,11.045,2.042,2.18,1.969,1.955,-0.755
"Foreign direct investment, net outflows (BoP, current US$)",0,0.0,0.0,float64,60,60,0,-130720000000.0,523890000000.0,654610000000.0,126155786552.881,58356541327.726,161547693808.546,-0.523,0.954
GDP (constant 2015 US$),0,0.0,0.0,float64,60,60,0,6372686534.512,22062578283266.8,22056205596732.29,6511529282077.806,1524859431523.08,8306681364896.072,-1.314,0.775
GDP (constant LCU),0,0.0,0.0,float64,60,60,0,6008974000.0,22062578283266.8,22056569309266.8,6652767599797.335,1949969203500.0,8222729930904.284,-1.31,0.764
GDP (current LCU),0,0.0,0.0,float64,60,60,0,4484703000.0,27720709000000.0,27716224297000.0,6689398760533.333,1946345500000.0,8534999717734.885,-0.576,0.979
GDP (current US$),0,0.0,0.0,float64,60,60,0,4484703000.0,27720709000000.0,27716224297000.0,6582790817881.322,1652475187122.14,8594118515983.092,-0.586,0.986
GDP deflator (base year varies by country),0,0.0,0.0,float64,60,58,1,63.132,126.837,63.705000000000005,99.54,99.54,13.384,0.202,-0.134
GDP deflator: linked series (base year varies by country),0,0.0,0.0,float64,60,58,1,71.641,126.837,55.196,99.833,99.54,12.699,-0.43,0.179
GDP growth (annual %),0,0.0,0.0,float64,60,60,0,-6.843,6.431,13.274000000000001,1.304,2.203,2.929,0.635,-0.957
GDP per capita (constant 2015 US$),0,0.0,0.0,float64,60,60,0,40108.759,132595.483,92486.72400000002,70906.018,55330.903,31216.16,-1.21,0.706
GDP per capita (constant LCU),0,0.0,0.0,float64,60,60,0,51290.527,125027.773,73737.246,72738.222,57542.781,24879.815,-1.051,0.836
GDP per capita (current LCU),0,0.0,0.0,float64,60,60,0,41724.641,125841.603,84116.962,72233.282,60911.47,25630.591,-1.125,0.645
GDP per capita (current US$),0,0.0,0.0,float64,60,60,0,32145.541,125841.603,93696.062,69320.234,55406.854,27652.409,-1.18,0.644
GDP per capita growth (annual %),0,0.0,0.0,float64,60,60,0,-7.241,6.265,13.506,0.601,1.347,2.872,0.647,-0.752
"GDP per capita, PPP (constant 2021 international $)",0,0.0,0.0,float64,60,60,0,51128.983,117742.119,66613.136,73110.474,62640.298,20686.732,-0.968,0.747
"GDP per capita, PPP (current international $)",0,0.0,0.0,float64,60,60,0,33927.67,108810.998,74883.32800000001,60826.28,57623.411,17802.119,-0.213,0.637
"GDP, PPP (constant 2021 international $)",0,0.0,0.0,float64,60,60,0,5658817336.411,24977117772096.2,24971458954759.79,7443480292022.498,1943827593200.62,9360899430116.484,-1.312,0.771
"GDP, PPP (current international $)",0,0.0,0.0,float64,60,60,0,4052955585.104,27720708999999.9,27716656044414.793,6577183172320.02,1574512668428.945,8598911380068.423,-0.587,0.985
GDP: linked series (current LCU),0,0.0,0.0,float64,60,60,0,5089118193.483,27720708999999.9,27715619881806.414,6689419768977.644,1946345500000.0,8534982985533.465,-0.576,0.979
GOAL 10: Reduced Inequality (5 year moving average),0,0.0,26.667,float64,60,11,7,0.0,1.0,1.0,0.379,0.4,0.29,-0.235,0.316
GOAL 11: Sustainable Cities and Communities (5 year moving average),0,0.0,46.667,float64,60,16,7,0.0,1.0,1.0,0.256,0.155,0.318,-0.478,0.994
GOAL 12: Responsible Consumption and Production (5 year moving average),0,0.0,36.667,float64,60,9,9,0.0,1.0,1.0,0.365,0.4,0.321,-1.325,0.146
GOAL 15: Life on Land (5 year moving average),0,0.0,0.0,float64,60,15,7,0.4,1.0,0.6,0.803,0.875,0.212,-1.377,-0.582
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),0,0.0,0.0,float64,60,15,11,0.125,0.857,0.732,0.469,0.556,0.207,-0.996,-0.314
GOAL 17: Partnerships to achieve the Goal (5 year moving average),0,0.0,1.667,float64,60,25,9,0.0,0.867,0.867,0.441,0.429,0.178,0.332,0.321
GOAL 1: No Poverty (5 year moving average),0,0.0,20.0,float64,60,14,8,0.0,1.0,1.0,0.433,0.5,0.299,-0.925,-0.026
GOAL 2: Zero Hunger (5 year moving average),0,0.0,26.667,float64,60,16,8,0.0,0.9,0.9,0.483,0.571,0.335,-1.376,-0.505
GOAL 3: Good Health and Well-being (5 year moving average),0,0.0,0.0,float64,60,22,14,0.059,0.96,0.901,0.535,0.677,0.322,-1.501,-0.51
GOAL 4: Quality Education (5 year moving average),0,0.0,11.667,float64,60,13,11,0.0,0.833,0.833,0.302,0.279,0.177,1.582,0.671
GOAL 5: Gender Equality (5 year moving average),0,0.0,33.333,float64,60,8,7,0.0,0.8,0.8,0.312,0.375,0.248,-0.929,0.028
GOAL 6: Clean Water and Sanitation (5 year moving average),0,0.0,0.0,float64,60,11,9,0.333,0.875,0.542,0.598,0.6,0.163,-1.056,0.001
GOAL 7: Affordable and Clean Energy (5 year moving average),0,0.0,0.0,float64,60,6,6,0.4,0.833,0.43299999999999994,0.661,0.6,0.112,-0.726,0.055
GOAL 8: Decent Work and Economic Growth (5 year moving average),0,0.0,0.0,float64,60,19,13,0.1,1.0,0.9,0.469,0.545,0.26,-0.534,0.252
"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",0,0.0,5.0,float64,60,15,11,0.0,1.0,1.0,0.492,0.5,0.284,-0.794,-0.044
Government Effectiveness: Estimate,0,0.0,0.0,float64,60,60,0,0.948,1.901,0.9530000000000001,1.451,1.515,0.283,-1.026,-0.343
Government Effectiveness: Number of Sources,0,0.0,0.0,float64,60,4,4,1.0,7.0,6.0,4.733,6.0,2.718,-1.561,-0.61
Government Effectiveness: Percentile Rank,0,0.0,0.0,float64,60,48,9,77.404,97.561,20.15700000000001,89.734,90.627,5.5,-0.699,-0.619
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",0,0.0,0.0,float64,60,52,8,59.615,91.176,31.561,78.779,82.464,9.818,-1.036,-0.643
"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",0,0.0,0.0,float64,60,43,9,89.706,100.0,10.293999999999997,97.446,98.104,2.278,0.868,-1.142
Government Effectiveness: Standard Error,0,0.0,0.0,float64,60,40,20,0.192,0.513,0.321,0.299,0.229,0.107,-1.158,0.798
Import unit value index (2015 = 100),0,0.0,0.0,float64,60,56,2,82.6,117.0,34.400000000000006,102.473,102.05,8.827,-0.526,-0.159
"Incidence of tuberculosis (per 100,000 people)",0,0.0,5.0,float64,60,28,13,0.0,11.0,11.0,4.267,4.65,1.816,2.788,0.25
"Inflation, GDP deflator (annual %)",0,0.0,0.0,float64,60,60,0,-2.325,19.579,21.904,2.798,2.15,3.029,15.326,3.059
"Inflation, GDP deflator: linked series (annual %)",0,0.0,0.0,float64,60,60,0,-2.325,7.665,9.99,2.562,2.15,2.112,0.555,0.613
Labor Force Survey (Availability score over 10 years),0,0.0,16.667,float64,60,3,3,0.0,1.0,1.0,0.722,1.0,0.408,-1.009,-0.9
Labor force participation rate by sex and age (%),0,0.0,43.333,float64,60,3,2,0.0,1.0,1.0,0.558,1.0,0.497,-1.991,-0.241
Lower secondary school starting age (years),0,0.0,0.0,float64,60,2,2,11.0,12.0,1.0,11.667,12.0,0.475,-1.526,-0.725
Merchandise exports (current US$),0,0.0,0.0,float64,60,54,5,11000000.0,2065157000000.0,2065146000000.0,624821666666.667,434755000000.0,638830078055.95,-0.81,0.736
Merchandise imports (current US$),0,0.0,0.0,float64,60,59,1,900000000.0,3371751000000.0,3370851000000.0,917363533333.333,436887500000.0,1049466992307.652,-0.84,0.846
Merchandise trade (% of GDP),0,0.0,0.0,float64,60,60,0,13.402,58.212,44.81,29.985,21.073,16.631,-1.424,0.681
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),0,0.0,0.0,float64,60,56,3,-12.033,37.54,49.573,8.131,1.754,17.29,-1.315,0.591
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),0,0.0,0.0,float64,60,56,3,0.022,861.361,861.3389999999999,312.355,128.012,358.989,-1.512,0.661
Methane (CH4) emissions from Agriculture (Mt CO2e),0,0.0,0.0,float64,60,44,3,0.002,263.07,263.068,93.994,31.136,112.493,-1.511,0.687
Methane (CH4) emissions from Building (Energy) (Mt CO2e),0,0.0,15.0,float64,60,42,2,0.0,9.878,9.878,3.168,1.003,3.859,-1.412,0.728
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),0,0.0,26.667,float64,60,42,2,0.0,442.062,442.062,154.873,71.932,172.636,-1.485,0.644
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),0,0.0,33.333,float64,60,41,1,0.0,1.823,1.823,0.621,0.286,0.684,-1.461,0.637
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),0,0.0,0.0,float64,60,41,3,0.0,1.942,1.942,0.648,0.144,0.828,-1.476,0.726
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),0,0.0,0.0,float64,60,44,3,0.0,10.037,10.037,2.038,0.673,2.681,1.107,1.402
Methane (CH4) emissions from Waste (Mt CO2e),0,0.0,0.0,float64,60,55,4,0.019,176.423,176.404,56.709,21.233,66.427,-1.424,0.7
Net migration,0,0.0,5.0,float64,60,56,2,-237.0,1889129.0,1889366.0,576081.067,238948.0,673018.824,-1.026,0.84
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),0,0.0,0.0,float64,60,54,4,-36.709,6.792,43.501000000000005,-6.587,-4.45,9.716,0.771,-1.053
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),0,0.0,0.0,float64,60,54,4,0.005,235.982,235.977,84.219,30.166,99.721,-1.508,0.682
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),0,0.0,0.0,float64,60,42,1,0.001,137.556,137.555,51.373,21.846,58.856,-1.519,0.655
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),0,0.0,5.0,float64,60,43,3,0.0,7.215,7.215,2.484,1.131,2.813,-1.404,0.681
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),0,0.0,33.333,float64,60,39,3,0.0,0.366,0.366,0.127,0.097,0.121,-1.251,0.5
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),0,0.0,33.333,float64,60,41,1,0.0,2.45,2.45,0.82,0.376,0.905,-1.437,0.647
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),0,0.0,0.0,float64,60,54,6,0.002,42.831,42.829,13.185,3.412,16.419,-1.387,0.742
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),0,0.0,0.0,float64,60,43,3,0.0,15.288,15.288,3.885,0.364,5.562,-0.749,0.999
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),0,0.0,0.0,float64,60,48,5,0.001,31.273,31.272,9.216,2.188,11.818,-1.228,0.805
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),0,0.0,0.0,float64,60,50,4,0.001,9.537,9.536000000000001,3.13,0.902,3.841,-1.452,0.718
"Official exchange rate (LCU per US$, period average)",0,0.0,0.0,float64,60,21,1,0.989,1.35,0.3610000000000001,1.064,1.0,0.117,0.708,1.545
"PPP conversion factor, GDP (LCU per international $)",0,0.0,0.0,float64,60,41,1,1.0,1.449,0.44900000000000007,1.181,1.21,0.149,-1.168,0.087
Pillar 1  - Data Use - Score,0,0.0,10.0,float64,60,7,6,0.0,100.0,100.0,54.833,40.0,32.754,-1.034,0.113
Political Stability and Absence of Violence/Terrorism: Estimate,0,0.0,0.0,float64,60,60,0,-0.233,1.262,1.495,0.756,0.903,0.368,0.265,-1.07
Political Stability and Absence of Violence/Terrorism: Number of Sources,0,0.0,0.0,float64,60,5,5,2.0,10.0,8.0,6.183,8.0,3.061,-1.522,-0.564
Political Stability and Absence of Violence/Terrorism: Percentile Rank,0,0.0,0.0,float64,60,53,7,37.379,94.286,56.907000000000004,73.51,77.644,14.03,-0.263,-0.771
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",0,0.0,0.0,float64,60,57,3,23.301,79.524,56.223,57.01,60.285,12.191,0.285,-0.705
"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",0,0.0,0.0,float64,60,45,10,52.913,99.528,46.61500000000001,88.032,96.658,14.761,0.011,-1.188
Political Stability and Absence of Violence/Terrorism: Standard Error,0,0.0,0.0,float64,60,47,13,0.192,0.374,0.182,0.257,0.24,0.051,-0.498,0.764
Population ages 0-14 (% of total population),0,0.0,0.0,float64,60,60,0,13.878,20.548,6.669999999999998,17.25,16.895,1.799,-1.042,0.082
"Population ages 0-14, female",0,0.0,0.0,float64,60,60,0,4373.0,29974283.0,29969910.0,10804870.217,2810517.0,13435366.98,-1.524,0.702
"Population ages 0-14, female (% of female population)",0,0.0,0.0,float64,60,60,0,13.244,19.917,6.673000000000002,16.672,16.24,1.842,-1.073,0.035
"Population ages 0-14, male",0,0.0,0.0,float64,60,60,0,4606.0,31626556.0,31621950.0,11386592.483,2946794.0,14168911.461,-1.524,0.702
"Population ages 0-14, male (% of male population)",0,0.0,0.0,float64,60,60,0,14.539,21.185,6.645999999999999,17.835,17.579,1.759,-1.009,0.128
"Population ages 0-14, total",0,0.0,0.0,float64,60,60,0,8979.0,61600838.0,61591859.0,22191462.55,5757311.0,27604271.742,-1.524,0.702
"Population ages 00-04, female (% of female population)",0,0.0,0.0,float64,60,60,0,4.046,6.563,2.5169999999999995,5.382,5.293,0.675,-0.58,0.12
"Population ages 00-04, male (% of male population)",0,0.0,0.0,float64,60,60,0,4.377,6.922,2.545,5.722,5.673,0.679,-0.49,0.057
"Population ages 05-09, female (% of female population)",0,0.0,0.0,float64,60,60,0,4.414,6.443,2.029,5.562,5.381,0.599,-1.258,0.083
"Population ages 05-09, male (% of male population)",0,0.0,0.0,float64,60,60,0,4.8,6.81,2.01,5.956,5.789,0.57,-1.015,0.014
"Population ages 10-14, female (% of female population)",0,0.0,0.0,float64,60,60,0,4.706,6.954,2.2479999999999993,5.729,5.68,0.635,-1.364,-0.017
"Population ages 10-14, male (% of male population)",0,0.0,0.0,float64,60,60,0,5.363,7.452,2.0889999999999995,6.157,6.14,0.601,-1.429,0.194
"Population ages 15-19, female (% of female population)",0,0.0,0.0,float64,60,60,0,4.733,7.013,2.2800000000000002,5.915,5.903,0.681,-1.227,-0.145
"Population ages 15-19, male (% of male population)",0,0.0,0.0,float64,60,60,0,5.125,7.558,2.433,6.334,6.378,0.722,-1.215,-0.024
Population ages 15-64 (% of total population),0,0.0,0.0,float64,60,60,0,64.974,69.98,5.006,67.604,67.542,1.457,-1.23,-0.119
"Population ages 15-64, female",0,0.0,0.0,float64,60,58,2,20907.0,106256922.0,106236015.0,38465059.567,11985033.5,46608116.45,-1.516,0.693
"Population ages 15-64, female (% of female population)",0,0.0,0.0,float64,60,60,0,63.321,68.935,5.614000000000004,66.498,66.472,1.515,-1.052,-0.188
"Population ages 15-64, male",0,0.0,0.0,float64,60,60,0,21282.0,111349151.0,111327869.0,39741139.867,12101831.0,48348287.36,-1.509,0.697
"Population ages 15-64, male (% of male population)",0,0.0,0.0,float64,60,60,0,66.166,71.038,4.872,68.724,68.667,1.434,-1.215,-0.127
"Population ages 15-64, total",0,0.0,0.0,float64,60,60,0,42190.0,217606073.0,217563883.0,78206199.417,24086864.5,94954990.985,-1.513,0.695
"Population ages 20-24, female (% of female population)",0,0.0,0.0,float64,60,60,0,4.716,6.99,2.274,6.109,6.357,0.721,-1.203,-0.568
"Population ages 20-24, male (% of male population)",0,0.0,0.0,float64,60,60,0,4.926,7.509,2.583,6.518,6.889,0.844,-1.148,-0.643
"Population ages 25-29, female (% of female population)",0,0.0,0.0,float64,60,60,0,4.725,6.992,2.2670000000000003,6.267,6.624,0.692,-0.748,-0.935
"Population ages 25-29, male (% of male population)",0,0.0,0.0,float64,60,60,0,4.953,7.441,2.4879999999999995,6.578,6.981,0.832,-1.017,-0.821
"Population ages 30-34, female (% of female population)",0,0.0,0.0,float64,60,60,0,5.389,7.425,2.0359999999999996,6.601,6.719,0.363,2.66,-1.401
"Population ages 30-34, male (% of male population)",0,0.0,0.0,float64,60,60,0,5.38,7.707,2.327,6.853,6.938,0.44,3.087,-1.534
"Population ages 35-39, female (% of female population)",0,0.0,0.0,float64,60,60,0,6.151,8.352,2.2010000000000005,6.869,6.796,0.452,2.234,1.326
"Population ages 35-39, male (% of male population)",0,0.0,0.0,float64,60,60,0,6.452,9.038,2.5860000000000003,7.173,7.031,0.583,1.7,1.393
"Population ages 40-44, female (% of female population)",0,0.0,0.0,float64,60,60,0,6.003,9.333,3.33,7.101,6.878,0.811,0.558,1.053
"Population ages 40-44, male (% of male population)",0,0.0,0.0,float64,60,60,0,6.251,10.033,3.781999999999999,7.478,7.224,1.012,-0.096,0.846
"Population ages 45-49, female (% of female population)",0,0.0,0.0,float64,60,60,0,5.856,9.033,3.1769999999999996,7.299,7.31,0.894,-0.894,0.264
"Population ages 45-49, male (% of male population)",0,0.0,0.0,float64,60,60,0,6.066,9.286,3.2199999999999998,7.621,7.687,1.003,-1.173,0.002
"Population ages 50-54, female (% of female population)",0,0.0,0.0,float64,60,60,0,6.052,8.748,2.6959999999999997,7.289,7.212,0.709,-0.38,0.295
"Population ages 50-54, male (% of male population)",0,0.0,0.0,float64,60,60,0,6.185,8.863,2.678,7.418,7.353,0.749,-0.941,0.069
"Population ages 55-59, female (% of female population)",0,0.0,0.0,float64,60,60,0,5.738,8.47,2.732,6.936,6.77,0.701,-0.229,0.757
"Population ages 55-59, male (% of male population)",0,0.0,0.0,float64,60,60,0,5.596,8.494,2.8979999999999997,6.88,6.708,0.726,-0.146,0.71
"Population ages 60-64, female (% of female population)",0,0.0,0.0,float64,60,60,0,4.461,8.1,3.6389999999999993,6.113,6.076,0.893,-0.084,0.371
"Population ages 60-64, male (% of male population)",0,0.0,0.0,float64,60,60,0,4.159,7.955,3.7960000000000003,5.873,5.9,0.852,-0.211,0.176
Population ages 65 and above (% of total population),0,0.0,0.0,float64,60,60,0,11.957,20.912,8.954999999999998,15.146,14.718,2.338,-0.615,0.575
"Population ages 65 and above, female",0,0.0,0.0,float64,60,60,0,4357.0,31675306.0,31670949.0,9334963.783,2987475.0,11376471.167,-1.205,0.788
"Population ages 65 and above, female (% of female population)",0,0.0,0.0,float64,60,60,0,13.854,23.435,9.581,16.83,16.305,2.4,-0.083,0.798
"Population ages 65 and above, male",0,0.0,0.0,float64,60,60,0,3123.0,26706454.0,26703331.0,7494353.783,2451687.5,9204411.118,-0.991,0.856
"Population ages 65 and above, male (% of male population)",0,0.0,0.0,float64,60,60,0,10.039,18.282,8.243,13.441,13.077,2.304,-0.935,0.388
"Population ages 65 and above, total",0,0.0,0.0,float64,60,60,0,7479.0,58381760.0,58374281.0,16829317.583,5439163.0,20572735.341,-1.116,0.816
"Population ages 65-69, female (% of female population)",0,0.0,0.0,float64,60,60,0,3.546,7.173,3.6270000000000002,5.013,5.095,0.891,-0.73,0.205
"Population ages 65-69, male (% of male population)",0,0.0,0.0,float64,60,60,0,3.202,6.416,3.2140000000000004,4.635,4.738,0.858,-1.018,0.073
"Population ages 70-74, female (% of female population)",0,0.0,0.0,float64,60,60,0,3.079,5.574,2.4949999999999997,4.007,3.751,0.696,-0.816,0.569
"Population ages 70-74, male (% of male population)",0,0.0,0.0,float64,60,60,0,2.615,4.923,2.308,3.507,3.287,0.654,-0.99,0.493
"Population ages 75-79, female (% of female population)",0,0.0,0.0,float64,60,60,0,2.599,4.475,1.8759999999999994,3.119,2.998,0.415,1.52,1.248
"Population ages 75-79, male (% of male population)",0,0.0,0.0,float64,60,60,0,1.964,3.506,1.5419999999999998,2.501,2.438,0.386,0.125,0.869
"Population ages 80 and above, female (% of female population)",0,0.0,0.0,float64,60,60,0,3.385,6.213,2.8280000000000003,4.691,4.515,0.579,0.147,0.278
"Population ages 80 and above, male (% of male population)",0,0.0,0.0,float64,60,60,0,1.564,3.896,2.332,2.798,2.767,0.525,-0.165,-0.234
Population growth (annual %),0,0.0,0.0,float64,60,60,0,-0.137,2.932,3.069,0.695,0.73,0.527,4.295,1.202
"Population, female",0,0.0,0.0,float64,60,60,0,31447.0,166628596.0,166597149.0,58604893.55,17771138.5,71291431.197,-1.504,0.698
"Population, female (% of total population)",0,0.0,0.0,float64,60,60,0,49.708,51.035,1.3269999999999982,50.285,50.342,0.3,0.484,-0.063
"Population, male",0,0.0,0.0,float64,60,60,0,31108.0,168286299.0,168255191.0,58622086.067,17486390.5,71540135.231,-1.494,0.703
"Population, male (% of total population)",0,0.0,0.0,float64,60,60,0,48.965,50.292,1.3269999999999982,49.715,49.658,0.3,0.484,0.063
"Population, total",0,0.0,0.0,float64,60,60,0,62555.0,334914895.0,334852340.0,117226979.617,35257529.0,142829859.376,-1.499,0.7
Price level ratio of PPP conversion factor (GDP) to market exchange rate,0,0.0,0.0,float64,60,41,1,0.843,1.449,0.6060000000000001,1.12,1.001,0.176,-1.133,0.513
"Primary education, duration (years)",0,0.0,0.0,float64,60,1,1,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0
Primary school starting age (years),0,0.0,0.0,float64,60,2,2,5.0,6.0,1.0,5.667,6.0,0.475,-1.526,-0.725
Quality of Debt service data according to World Bank,0,0.0,60.0,float64,60,2,2,0.0,1.0,1.0,0.4,0.0,0.494,-1.889,0.419
Regulatory Quality: Estimate,0,0.0,0.0,float64,60,60,0,0.814,1.88,1.0659999999999998,1.416,1.442,0.282,-0.239,-0.791
Regulatory Quality: Number of Sources,0,0.0,0.0,float64,60,4,4,1.0,8.0,7.0,5.233,7.0,3.066,-1.534,-0.629
Regulatory Quality: Percentile Rank,0,0.0,0.0,float64,60,51,7,75.238,97.619,22.381,90.149,91.627,5.923,0.222,-1.119
"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",0,0.0,0.0,float64,60,55,5,53.365,91.429,38.064,78.193,81.84,11.447,-0.313,-0.978
"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",0,0.0,0.0,float64,60,30,10,91.905,100.0,8.094999999999999,97.911,99.048,2.514,-0.032,-1.116
