Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,License URL
FB.BNK.CAPA.ZS,CC BY-4.0,Bank capital to assets ratio (%),"Bank capital to assets is the ratio of bank capital and reserves to total assets. Capital and reserves include funds contributed by owners, retained earnings, general and special reserves, provisions, and valuation adjustments. Capital includes tier 1 capital (paid-up shares and common stock), which is a common feature in all countries' banking systems, and total regulatory capital, which includes several specified types of subordinated debt instruments that need not be repaid if the funds are required to maintain minimum capital levels (these comprise tier 2 and tier 3 capital). Total assets include all nonfinancial and financial assets.","International Monetary Fund, Financial Soundness Indicators.",Financial Sector: Assets,Annual,,,"The ratio of capital to total assets, without the latter being risk weighted. Capital is measured as total capital and reserves as reported in the sectoral balance sheet; for cross-border consolidated data, Tier 1 capital can also be used. It indicates the extent to which assets are funded by other than own funds and is a measure of capital adequacy of the deposit-taking sector. It complements the capital adequacy ratios compiled based on the methodology agreed to by the Basle Committee on Banking Supervision. Also, it measures financial leverage and is sometimes called the leverage ratio. Data are submitted by national authorities to the IMF following the Financial Soundness Indicators (FSI) Compilation Guide. For country specific metadata, including reporting period, please refer to the GFSR FSI Tables and the Data and Metadata Tables available through FSIs website: http://data.imf.org/.","The size and mobility of international capital flows make it increasingly important to monitor the strength of financial systems. Robust financial systems can increase economic activity and welfare, but instability can disrupt financial activity and impose widespread costs on the economy. The ratio of bank capital to assets, a measure of bank solvency and resiliency, shows the extent to which banks can deal with unexpected losses. Capital includes tier 1 capital (paid-up shares and common stock), a common feature in all countries' banking systems, and total regulatory capital, which includes several types of subordinated debt instruments that need not be repaid if the funds are required to maintain minimum capital levels (tier 2 and tier 3 capital). Total assets include all nonfinancial and financial assets. Data are from internally consistent financial statements.","Reporting countries compile the data using different methodologies, which may also vary for different points in time for the same country. Users are advised to consult the accompanying metadata on the IMF FSI website (data.imf.org) to conduct more meaningful cross-country comparisons or to assess the evolution of the indicator for any of the countries.",,https://datacatalog.worldbank.org/public-licenses#cc-by
FD.RES.LIQU.AS.ZS,CC BY-4.0,Bank liquid reserves to bank assets ratio (%),"Ratio of bank liquid reserves to bank assets is the ratio of domestic currency holdings and deposits with the monetary authorities to claims on other governments, nonfinancial public enterprises, the private sector, and other banking institutions.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Assets,Annual,,Median,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
FB.AST.NPER.ZS,CC BY-4.0,Bank nonperforming loans to total gross loans (%),"Bank nonperforming loans to total gross loans are the value of nonperforming loans divided by the total value of the loan portfolio (including nonperforming loans before the deduction of specific loan-loss provisions). The loan amount recorded as nonperforming should be the gross value of the loan as recorded on the balance sheet, not just the amount that is overdue.","International Monetary Fund, Financial Soundness Indicators.",Financial Sector: Assets,Annual,,,"The ratio of bank nonperforming loans to total gross loans is the value of nonperforming loans (gross value of the loan as recorded on the balance sheet) divided by the total value of the loan portfolio (including nonperforming loans before the deduction of loan loss provisions). It measures bank health and efficiency by identifying problems with asset quality in the loan portfolio. International guidelines recommend that loans be classified as nonperforming when payments of principal and interest are 90 days or more past due or when future payments are not expected to be received in full. Data are submitted by national authorities to the IMF following the Financial Soundness Indicators (FSI) Compilation Guide. For country specific metadata, including reporting period, please refer to the GFSR FSI Tables and the Data and Metadata Tables available through FSIs website: http://data.imf.org/.","The size and mobility of international capital flows make it increasingly important to monitor the strength of financial systems. Robust financial systems can increase economic activity and welfare, but instability can disrupt financial activity and impose widespread costs on the economy. The ratio of bank nonperforming loans to total gross loans measures bank health and efficiency by identifying problems with asset quality in the loan portfolio. A high ratio may signal deterioration of the credit portfolio.","Reporting countries compile the data using different methodologies, which may also vary for different points in time for the same country. Users are advised to consult the accompanying metadata on the IMF FSI website (data.imf.org) to conduct more meaningful cross-country comparisons or to assess the evolution of the indicator for any of the countries.",,https://datacatalog.worldbank.org/public-licenses#cc-by
FB.CBK.BRWR.P3,CC BY-4.0,"Borrowers from commercial banks (per 1,000 adults)",Borrowers from commercial banks are the reported number of resident customers that are nonfinancial corporations (public and private) and households who obtained loans from commercial banks and other banks functioning as commercial banks. For many countries data cover the total number of loan accounts due to lack of information on loan account holders.,"International Monetary Fund, Financial Access Survey.",Financial Sector: Access,Annual,,Median,"Borrowers from commercial banks denotes the total number of resident customers that are nonfinancial corporations (public and private) and households who obtained loans from commercial banks for every 1,000 adults in the reporting country. It is calculated as (number of borrowers)*1,000/adult population in the reporting country.","Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index.","For several countries, data cover all borrowers including commercial banks, credit unions and financial cooperatives, deposit taking microfinance institutions, and other deposit takers. These include all resident financial corporations and quasi-corporations (except the central bank) that are mainly engaged in financial intermediation and that issue liabilities included in the national definition of broad money. These institutions have varying names in different countries, such as savings and loan associations, building societies, rural banks and agricultural banks, post office giro institutions, post office savings banks, savings banks, and money market funds.",Country-specific metadata can be found on the IMF’s FAS website (data.imf.org).,https://datacatalog.worldbank.org/public-licenses#cc-by
FM.LBL.BMNY.GD.ZS,CC BY-4.0,Broad money (% of GDP),"Broad money (IFS line 35L..ZK) is the sum of currency outside banks; demand deposits other than those of the central government; the time, savings, and foreign currency deposits of resident sectors other than the central government; bank and traveler’s checks; and other securities such as certificates of deposit and commercial paper.","International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates.",Financial Sector: Monetary holdings (liabilities),Annual,,Weighted average,,,,The derivation of this indicator was simplified in September 2012 to be current-year broad money divided by current-year GDP times 100.,https://datacatalog.worldbank.org/public-licenses#cc-by
FM.LBL.BMNY.CN,CC BY-4.0,Broad money (current LCU),"Broad money (IFS line 35L..ZK) is the sum of currency outside banks; demand deposits other than those of the central government; the time, savings, and foreign currency deposits of resident sectors other than the central government; bank and traveler’s checks; and other securities such as certificates of deposit and commercial paper.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Monetary holdings (liabilities),Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
FM.LBL.BMNY.ZG,CC BY-4.0,Broad money growth (annual %),"Broad money (IFS line 35L..ZK) is the sum of currency outside banks; demand deposits other than those of the central government; the time, savings, and foreign currency deposits of resident sectors other than the central government; bank and traveler’s checks; and other securities such as certificates of deposit and commercial paper.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Monetary holdings (liabilities),Annual,,,"Money and the financial accounts that record the supply of money lie at the heart of a country’s financial system. There are several commonly used definitions of the money supply. The narrowest, M1, encompasses currency held by the public and demand deposits with banks. M2 includes M1 plus time and savings deposits with banks that require prior notice for withdrawal. M3 includes M2 as well as various money market instruments, such as certificates of deposit issued by banks, bank deposits denominated in foreign currency, and deposits with financial institutions other than banks. However defined, money is a liability of the banking system, distinguished from other bank liabilities by the special role it plays as a medium of exchange, a unit of account, and a store of value.",,"Monetary accounts are derived from the balance sheets of financial institutions - the central bank, commercial banks, and nonbank financial intermediaries. Although these balance sheets are usually reliable, they are subject to errors of classification, valuation, and timing and to differences in accounting practices. For example, whether interest income is recorded on an accrual or a cash basis can make a substantial difference, as can the treatment of nonperforming assets. Valuation errors typically arise for foreign exchange transactions, particularly in countries with flexible exchange rates or in countries that have undergone currency devaluation during the reporting period. The valuation of financial derivatives and the net liabilities of the banking system can also be difficult. The quality of commercial bank reporting also may be adversely affected by delays in reports from bank branches, especially in countries where branch accounts are not computerized. Thus the data in the balance sheets of commercial banks may be based on preliminary estimates subject to constant revision. This problem is likely to be even more serious for nonbank financial intermediaries.",,https://datacatalog.worldbank.org/public-licenses#cc-by
FM.LBL.BMNY.IR.ZS,CC BY-4.0,Broad money to total reserves ratio,"Broad money (IFS line 35L..ZK) is the sum of currency outside banks; demand deposits other than those of the central government; the time, savings, and foreign currency deposits of resident sectors other than the central government; bank and traveler’s checks; and other securities such as certificates of deposit and commercial paper.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Monetary holdings (liabilities),Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
FM.AST.CGOV.ZG.M3,CC BY-4.0,Claims on central government (annual growth as % of broad money),Claims on central government (IFS line 32AN..ZK) include loans to central government institutions net of deposits.,"International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Assets,Annual,,,"The banking system's assets include its net foreign assets and net domestic credit. Net domestic credit includes credit extended to the private sector and general government and credit extended to the nonfinancial public sector in the form of investments in short- and long-term government securities and loans to state enterprises; liabilities to the public and private sectors in the form of deposits with the banking system are netted out. Net domestic credit also includes credit to banking and nonbank financial institutions.

Domestic credit is the main vehicle through which changes in the money supply are regulated, with central bank lending to the government often playing the most important role. The central bank can regulate lending to the private sector in several ways - for example, by adjusting the cost of the refinancing facilities it provides to banks, by changing market interest rates through open market operations, or by controlling the availability of credit through changes in the reserve requirements imposed on banks and ceilings on the credit provided by banks to the private sector.",,"Monetary accounts are derived from the balance sheets of financial institutions - the central bank, commercial banks, and nonbank financial intermediaries. Although these balance sheets are usually reliable, they are subject to errors of classification, valuation, and timing and to differences in accounting practices. For example, whether interest income is recorded on an accrual or a cash basis can make a substantial difference, as can the treatment of nonperforming assets. Valuation errors typically arise for foreign exchange transactions, particularly in countries with flexible exchange rates or in countries that have undergone currency devaluation during the reporting period. The valuation of financial derivatives and the net liabilities of the banking system can also be difficult. The quality of commercial bank reporting also may be adversely affected by delays in reports from bank branches, especially in countries where branch accounts are not computerized. Thus the data in the balance sheets of commercial banks may be based on preliminary estimates subject to constant revision. This problem is likely to be even more serious for nonbank financial intermediaries.",,https://datacatalog.worldbank.org/public-licenses#cc-by
FS.AST.CGOV.GD.ZS,CC BY-4.0,"Claims on central government, etc. (% GDP)",Claims on central government (IFS line 52AN or 32AN) include loans to central government institutions net of deposits.,"International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates.",Financial Sector: Assets,Annual,,Weighted average,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
FS.AST.DOMO.GD.ZS,CC BY-4.0,Claims on other sectors of the domestic economy (% of GDP),"Claims on other sectors of the domestic economy (IFS line 52S or 32S) include gross credit from the financial system to households, nonprofit institutions serving households, nonfinancial corporations, state and local governments, and social security funds.","International Monetary Fund, International Financial Statistics and data files, and World Bank and OECD GDP estimates.",Financial Sector: Assets,Annual,,Weighted average,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
FM.AST.DOMO.ZG.M3,CC BY-4.0,Claims on other sectors of the domestic economy (annual growth as % of broad money),"Claims on other sectors of the domestic economy (IFS line 32S..ZK) include gross credit from the financial system to households, nonprofit institutions serving households, nonfinancial corporations, state and local governments, and social security funds.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Assets,Annual,,,"The banking system's assets include its net foreign assets and net domestic credit. Net domestic credit includes credit extended to the private sector and general government and credit extended to the nonfinancial public sector in the form of investments in short- and long-term government securities and loans to state enterprises; liabilities to the public and private sectors in the form of deposits with the banking system are netted out. Net domestic credit also includes credit to banking and nonbank financial institutions.

Domestic credit is the main vehicle through which changes in the money supply are regulated, with central bank lending to the government often playing the most important role. The central bank can regulate lending to the private sector in several ways - for example, by adjusting the cost of the refinancing facilities it provides to banks, by changing market interest rates through open market operations, or by controlling the availability of credit through changes in the reserve requirements imposed on banks and ceilings on the credit provided by banks to the private sector.",,"Monetary accounts are derived from the balance sheets of financial institutions - the central bank, commercial banks, and nonbank financial intermediaries. Although these balance sheets are usually reliable, they are subject to errors of classification, valuation, and timing and to differences in accounting practices. For example, whether interest income is recorded on an accrual or a cash basis can make a substantial difference, as can the treatment of nonperforming assets. Valuation errors typically arise for foreign exchange transactions, particularly in countries with flexible exchange rates or in countries that have undergone currency devaluation during the reporting period. The valuation of financial derivatives and the net liabilities of the banking system can also be difficult. The quality of commercial bank reporting also may be adversely affected by delays in reports from bank branches, especially in countries where branch accounts are not computerized. Thus the data in the balance sheets of commercial banks may be based on preliminary estimates subject to constant revision. This problem is likely to be even more serious for nonbank financial intermediaries.",,https://datacatalog.worldbank.org/public-licenses#cc-by
FM.AST.PRVT.ZG.M3,CC BY-4.0,Claims on private sector (annual growth as % of broad money),"Claims on private sector (IFS line 32D..ZK or 32D..ZF) include gross credit from the financial system to individuals, enterprises, nonfinancial public entities not included under net domestic credit, and financial institutions not included elsewhere.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Assets,Annual,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
FB.CBK.BRCH.P5,CC BY-4.0,"Commercial bank branches (per 100,000 adults)",Commercial bank branches are retail locations of resident commercial banks and other resident banks that function as commercial banks that provide financial services to customers and are physically separated from the main office but not organized as legally separated subsidiaries.,"International Monetary Fund, Financial Access Survey.",Financial Sector: Access,Annual,,Median,"Data are shown as the number of branches of commercial banks for every 100,000 adults in the reporting country. It is calculated as (number of institutions + number of branches)*100,000/adult population in the reporting country.","Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index.","Population-based ratios of the number of branches and ATMs assume a uniform distribution of bank outlets within a country's area and across its population, while in most countries bank branches and ATMs are concentrated in urban centers of the country and are accessible only to some individuals.",Country-specific metadata can be found on the IMF’s FAS website (data.imf.org).,https://datacatalog.worldbank.org/public-licenses#cc-by
FP.CPI.TOTL,CC BY-4.0,Consumer price index (2010 = 100),"Consumer price index reflects changes in the cost to the average consumer of acquiring a basket of goods and services that may be fixed or changed at specified intervals, such as yearly. The Laspeyres formula is generally used. Data are period averages.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Exchange rates & prices,Annual,2010,,"Consumer price indexes are constructed explicitly, using surveys of the cost of a defined basket of consumer goods and services.","A general and continuing increase in an economy’s price level is called inflation. The increase in the average prices of goods and services in the economy should be distinguished from a change in the relative prices of individual goods and services. Generally accompanying an overall increase in the price level is a change in the structure of relative prices, but it is only the average increase, not the relative price changes, that constitutes inflation. A commonly used measure of inflation is the consumer price index, which measures the prices of a representative basket of goods and services purchased by a typical household. The consumer price index is usually calculated on the basis of periodic surveys of consumer prices. Other price indices are derived implicitly from indexes of current and constant price series.","Consumer price indexes should be interpreted with caution. The definition of a household, the basket of goods, and the geographic (urban or rural) and income group coverage of consumer price surveys can vary widely by country. In addition, weights are derived from household expenditure surveys, which, for budgetary reasons, tend to be conducted infrequently in developing countries, impairing comparability over time. Although useful for measuring consumer price inflation within a country, consumer price indexes are of less value in comparing countries.",,https://datacatalog.worldbank.org/public-licenses#cc-by
PA.NUS.ATLS,CC BY-4.0,DEC alternative conversion factor (LCU per US$),"The DEC alternative conversion factor is the underlying annual exchange rate used for the World Bank Atlas method. As a rule, it is the official exchange rate reported in the IMF's International Financial Statistics (line rf). Exceptions arise where further refinements are made by World Bank staff. It is expressed in local currency units per U.S. dollar.","International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",Financial Sector: Exchange rates & prices,Annual,,,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In certain countries, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. Consequently, an alternative conversion factor is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate effectively applied to domestic transactions of foreign currencies and traded products. This applies to only a small number of countries, as shown in the country-level metadata. An alternative conversion factor is also used when the period covered by national accounts differs from the calendar year and the alternative conversion factor will then cover the same period. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",,,"In the WDI database, the DEC alternative conversion factor is used to convert data in local currency units (LCU) into U.S. dollars.",https://datacatalog.worldbank.org/public-licenses#cc-by
FR.INR.DPST,CC BY-4.0,Deposit interest rate (%),"Deposit interest rate is the rate paid by commercial or similar banks for demand, time, or savings deposits. The terms and conditions attached to these rates differ by country, however, limiting their comparability.","International Monetary Fund, International Financial Statistics and data files.",Financial Sector: Interest rates,Annual,,,"Many interest rates coexist in an economy, reflecting competitive conditions, the terms governing loans and deposits, and differences in the position and status of creditors and debtors. In some economies interest rates are set by regulation or administrative fiat. In economies with imperfect markets, or where reported nominal rates are not indicative of effective rates, it may be difficult to obtain data on interest rates that reflect actual market transactions. Deposit and lending rates are collected by the International Monetary Fund (IMF) as representative interest rates offered by banks to resident customers. The terms and conditions attached to these rates differ by country, however, limiting their comparability.

In 2009 the IMF began publishing a new presentation of monetary statistics for countries that report data in accordance with its Monetary Financial Statistical Manual 2000. The presentation for countries that report data in accordance with its International Financial Statistics (IFS) remains the same.","Both banking and financial systems enhance growth, the main factor in poverty reduction. At low levels of economic development commercial banks tend to dominate the financial system, while at higher levels domestic stock markets tend to become more active and efficient. The size and mobility of international capital flows make it increasingly important to monitor the strength of financial systems. Robust financial systems can increase economic activity and welfare, but instability can disrupt financial activity and impose widespread costs on the economy.","Countries use a variety of reporting formats, sample designs, interest compounding formulas, averaging methods, and data presentations for indices and other data series on interest rates. The IMF's Monetary and Financial Statistics Manual does not provide guidelines beyond the general recommendation that such data should reflect market prices and effective (rather than nominal) interest rates and should be representative of the financial assets and markets to be covered. For more information, please see http://www.imf.org/external/pubs/ft/mfs/manual/index.htm.",,https://datacatalog.worldbank.org/public-licenses#cc-by
