CountryShortName,missing_count,missing_percentage,Income Group,Region
Iraq,396.0,4.304347826086956,Upper middle income,Middle East & North Africa
Vanuatu,395.0,4.293478260869565,Lower middle income,East Asia & Pacific
Gabon,392.0,4.260869565217392,Upper middle income,Sub-Saharan Africa
Guinea-Bissau,380.0,3.887468030690537,Low income,Sub-Saharan Africa
Sudan,376.0,3.8465473145780047,Low income,Sub-Saharan Africa
Uzbekistan,371.0,3.7953964194373397,Lower middle income,Europe & Central Asia
Comoros,371.0,4.032608695652174,Lower middle income,Sub-Saharan Africa
Jordan,366.0,3.5362318840579707,Lower middle income,Middle East & North Africa
Timor-Leste,363.0,3.945652173913043,Lower middle income,East Asia & Pacific
Zambia,361.0,3.6930946291560103,Lower middle income,Sub-Saharan Africa
Sri Lanka,355.0,3.429951690821256,Lower middle income,South Asia
Tajikistan,345.0,3.3333333333333335,Lower middle income,Europe & Central Asia
Rwanda,344.0,3.323671497584541,Low income,Sub-Saharan Africa
Fiji,338.0,3.4578005115089514,Upper middle income,East Asia & Pacific
United States,325.0,3.324808184143223,High income,North America
Congo,323.0,3.1207729468599035,Lower middle income,Sub-Saharan Africa
Mongolia,308.0,2.975845410628019,Upper middle income,East Asia & Pacific
Cabo Verde,300.0,2.898550724637681,Lower middle income,Sub-Saharan Africa
Qatar,300.0,5.217391304347826,High income,Middle East & North Africa
Yemen,297.0,4.304347826086956,Low income,Middle East & North Africa
Dem. Rep. Congo,292.0,2.9872122762148337,Low income,Sub-Saharan Africa
Bhutan,290.0,3.152173913043478,Lower middle income,South Asia
Lesotho,289.0,2.792270531400966,Lower middle income,Sub-Saharan Africa
China,289.0,2.792270531400966,Upper middle income,East Asia & Pacific
Lebanon,274.0,2.8030690537084397,Lower middle income,Middle East & North Africa
Solomon Islands,272.0,2.782608695652174,Lower middle income,East Asia & Pacific
Angola,272.0,2.6280193236714973,Lower middle income,Sub-Saharan Africa
Slovenia,270.0,2.608695652173913,High income,Europe & Central Asia
Spain,259.0,2.502415458937198,High income,Europe & Central Asia
Oman,258.0,2.4927536231884058,High income,Middle East & North Africa
Malta,251.0,2.42512077294686,High income,Middle East & North Africa
Japan,249.0,2.4057971014492754,High income,East Asia & Pacific
Djibouti,246.0,5.3478260869565215,Lower middle income,Middle East & North Africa
Singapore,241.0,2.4654731457800514,High income,East Asia & Pacific
Côte d'Ivoire,239.0,2.445012787723785,Lower middle income,Sub-Saharan Africa
Guinea,234.0,2.39386189258312,Lower middle income,Sub-Saharan Africa
Ghana,233.0,2.251207729468599,Lower middle income,Sub-Saharan Africa
Uruguay,221.0,2.135265700483092,High income,Latin America & Caribbean
Nepal,220.0,2.1256038647342996,Lower middle income,South Asia
Azerbaijan,219.0,2.2404092071611252,Upper middle income,Europe & Central Asia
Luxembourg,218.0,2.106280193236715,High income,Europe & Central Asia
Slovak Republic,216.0,2.086956521739131,High income,Europe & Central Asia
Bangladesh,196.0,1.893719806763285,Lower middle income,South Asia
Armenia,192.0,1.855072463768116,Upper middle income,Europe & Central Asia
Egypt,191.0,1.8454106280193239,Lower middle income,Middle East & North Africa
Croatia,191.0,1.8454106280193239,High income,Europe & Central Asia
Australia,189.0,1.8260869565217392,High income,East Asia & Pacific
Latvia,188.0,1.816425120772947,High income,Europe & Central Asia
Kenya,186.0,1.7971014492753623,Lower middle income,Sub-Saharan Africa
Bulgaria,183.0,1.7681159420289854,High income,Europe & Central Asia
The Gambia,183.0,1.7681159420289854,Low income,Sub-Saharan Africa
Botswana,182.0,1.7584541062801933,Upper middle income,Sub-Saharan Africa
Ireland,180.0,1.7391304347826086,High income,Europe & Central Asia
Nicaragua,179.0,1.7294685990338163,Lower middle income,Latin America & Caribbean
Burundi,175.0,1.7902813299232736,Low income,Sub-Saharan Africa
Estonia,175.0,1.6908212560386473,High income,Europe & Central Asia
Italy,174.0,1.6811594202898552,High income,Europe & Central Asia
Switzerland,173.0,1.6714975845410627,High income,Europe & Central Asia
Saudi Arabia,169.0,1.7289002557544757,High income,Middle East & North Africa
Algeria,169.0,1.6328502415458936,Upper middle income,Middle East & North Africa
Uganda,167.0,1.613526570048309,Low income,Sub-Saharan Africa
Zimbabwe,165.0,2.2073578595317724,Lower middle income,Sub-Saharan Africa
Burkina Faso,164.0,1.5845410628019325,Low income,Sub-Saharan Africa
Korea,163.0,1.57487922705314,High income,East Asia & Pacific
Mali,161.0,1.647058823529412,Low income,Sub-Saharan Africa
Denmark,158.0,1.5265700483091786,High income,Europe & Central Asia
Austria,156.0,1.5072463768115942,High income,Europe & Central Asia
Türkiye,155.0,1.497584541062802,Upper middle income,Europe & Central Asia
Georgia,155.0,1.497584541062802,Upper middle income,Europe & Central Asia
Kyrgyz Republic,154.0,1.4879227053140096,Lower middle income,Europe & Central Asia
Norway,152.0,1.4685990338164252,High income,Europe & Central Asia
Niger,151.0,1.458937198067633,Low income,Sub-Saharan Africa
Cyprus,149.0,1.4396135265700483,High income,Europe & Central Asia
Tanzania,147.0,1.4202898550724639,Lower middle income,Sub-Saharan Africa
Finland,147.0,1.4202898550724639,High income,Europe & Central Asia
Greece,145.0,1.4009661835748792,High income,Europe & Central Asia
Poland,141.0,1.3623188405797102,High income,Europe & Central Asia
Mauritius,140.0,1.3526570048309179,Upper middle income,Sub-Saharan Africa
Bosnia and Herzegovina,139.0,1.3429951690821258,Upper middle income,Europe & Central Asia
Israel,138.0,1.3333333333333335,High income,Middle East & North Africa
Jamaica,133.0,1.3606138107416879,Upper middle income,Latin America & Caribbean
Syrian Arab Republic,132.0,3.279503105590062,Low income,Middle East & North Africa
Argentina,131.0,1.2657004830917873,Upper middle income,Latin America & Caribbean
Canada,129.0,1.319693094629156,High income,North America
Panama,129.0,1.2463768115942029,High income,Latin America & Caribbean
Namibia,129.0,1.2463768115942029,Upper middle income,Sub-Saharan Africa
France,129.0,1.2463768115942029,High income,Europe & Central Asia
Philippines,123.0,1.1884057971014492,Lower middle income,East Asia & Pacific
Mozambique,123.0,1.258312020460358,Low income,Sub-Saharan Africa
Benin,122.0,1.178743961352657,Lower middle income,Sub-Saharan Africa
Madagascar,120.0,1.1594202898550725,Low income,Sub-Saharan Africa
United Kingdom,120.0,1.1594202898550725,High income,Europe & Central Asia
Hungary,118.0,1.1400966183574879,High income,Europe & Central Asia
Belize,118.0,1.1400966183574879,Upper middle income,Latin America & Caribbean
New Zealand,110.0,1.0628019323671498,High income,East Asia & Pacific
Netherlands,110.0,1.0628019323671498,High income,Europe & Central Asia
Liberia,110.0,9.565217391304348,Low income,Sub-Saharan Africa
Cambodia,109.0,1.0531400966183575,Lower middle income,East Asia & Pacific
Moldova,109.0,1.0531400966183575,Upper middle income,Europe & Central Asia
Thailand,109.0,1.0531400966183575,Upper middle income,East Asia & Pacific
Honduras,109.0,1.0531400966183575,Lower middle income,Latin America & Caribbean
Portugal,108.0,1.0434782608695654,High income,Europe & Central Asia
Togo,105.0,1.0741687979539642,Low income,Sub-Saharan Africa
Senegal,105.0,1.0144927536231882,Lower middle income,Sub-Saharan Africa
Russia,104.0,1.0048309178743962,High income,Europe & Central Asia
Paraguay,104.0,1.0048309178743962,Upper middle income,Latin America & Caribbean
Lithuania,101.0,0.9758454106280192,High income,Europe & Central Asia
Sweden,98.0,0.9468599033816425,High income,Europe & Central Asia
Germany,98.0,0.9468599033816425,High income,Europe & Central Asia
Tunisia,96.0,0.927536231884058,Lower middle income,Middle East & North Africa
India,95.0,0.9178743961352657,Lower middle income,South Asia
Peru,95.0,0.9178743961352657,Upper middle income,Latin America & Caribbean
Malaysia,94.0,0.9082125603864735,Upper middle income,East Asia & Pacific
North Macedonia,93.0,0.8985507246376812,Upper middle income,Europe & Central Asia
Belgium,91.0,0.8792270531400966,High income,Europe & Central Asia
Brazil,91.0,0.8792270531400966,Upper middle income,Latin America & Caribbean
Chile,89.0,0.8599033816425121,High income,Latin America & Caribbean
Indonesia,88.0,0.8502415458937198,Upper middle income,East Asia & Pacific
Cameroon,86.0,0.8309178743961353,Lower middle income,Sub-Saharan Africa
Kazakhstan,85.0,0.8212560386473431,Upper middle income,Europe & Central Asia
Romania,85.0,0.8212560386473431,High income,Europe & Central Asia
Costa Rica,84.0,0.8115942028985508,Upper middle income,Latin America & Caribbean
South Africa,82.0,0.7922705314009663,Upper middle income,Sub-Saharan Africa
Albania,82.0,0.7922705314009663,Upper middle income,Europe & Central Asia
Ukraine,81.0,0.782608695652174,Upper middle income,Europe & Central Asia
Guatemala,80.0,0.7729468599033816,Upper middle income,Latin America & Caribbean
Belarus,79.0,0.7632850241545893,Upper middle income,Europe & Central Asia
Morocco,79.0,0.7632850241545893,Lower middle income,Middle East & North Africa
Pakistan,75.0,0.7246376811594203,Lower middle income,South Asia
Ecuador,73.0,0.7053140096618358,Upper middle income,Latin America & Caribbean
El Salvador,72.0,0.6956521739130435,Upper middle income,Latin America & Caribbean
Czechia,69.0,0.6666666666666667,High income,Europe & Central Asia
Bolivia,67.0,0.6473429951690821,Lower middle income,Latin America & Caribbean
Mexico,64.0,0.6183574879227053,Upper middle income,Latin America & Caribbean
Dominican Republic,63.0,0.6086956521739131,Upper middle income,Latin America & Caribbean
Colombia,62.0,0.5990338164251208,Upper middle income,Latin America & Caribbean
