Indicator,Source Table,Missing Count,Missing Percentage
Adjusted savings: consumption of fixed capital (current US$),WDIEconomicIndicator,48,4.678362573099415
Adjusted savings: education expenditure (% of GNI),WDIEconomicIndicator,47,4.580896686159844
Adjusted savings: energy depletion (current US$),WDIEconomicIndicator,47,4.580896686159844
Adjusted savings: mineral depletion (% of GNI),WDIEconomicIndicator,53,5.16569200779727
Adjusted savings: mineral depletion (current US$),WDIEconomicIndicator,47,4.580896686159844
"Agriculture, forestry, and fishing, value added (% of GDP)",WDIEconomicIndicator,22,2.144249512670565
"Agriculture, forestry, and fishing, value added (annual % growth)",WDIEconomicIndicator,46,4.483430799220272
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",WDIEconomicIndicator,43,4.1910331384015596
"Agriculture, forestry, and fishing, value added (constant LCU)",WDIEconomicIndicator,44,4.28849902534113
"Agriculture, forestry, and fishing, value added (current LCU)",WDIEconomicIndicator,22,2.144249512670565
"Agriculture, forestry, and fishing, value added (current US$)",WDIEconomicIndicator,22,2.144249512670565
"Communications, computer, etc. (% of service exports, BoP)",WDIEconomicIndicator,27,2.631578947368421
"Communications, computer, etc. (% of service imports, BoP)",WDIEconomicIndicator,32,3.1189083820662766
Current account balance (% of GDP),WDIEconomicIndicator,2,0.1949317738791423
"Current account balance (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
Discrepancy in expenditure estimate of GDP (current LCU),WDIEconomicIndicator,48,4.678362573099415
Exports of goods and services (% of GDP),WDIEconomicIndicator,48,4.678362573099415
"Exports of goods and services (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
Exports of goods and services (current LCU),WDIEconomicIndicator,48,4.678362573099415
Exports of goods and services (current US$),WDIEconomicIndicator,48,4.678362573099415
"Exports of goods, services and primary income (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
External balance on goods and services (% of GDP),WDIEconomicIndicator,48,4.678362573099415
External balance on goods and services (current LCU),WDIEconomicIndicator,48,4.678362573099415
External balance on goods and services (current US$),WDIEconomicIndicator,48,4.678362573099415
Final consumption expenditure (% of GDP),WDIEconomicIndicator,48,4.678362573099415
Final consumption expenditure (current LCU),WDIEconomicIndicator,48,4.678362573099415
Final consumption expenditure (current US$),WDIEconomicIndicator,48,4.678362573099415
"Foreign direct investment, net (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Foreign direct investment, net inflows (% of GDP)",WDIEconomicIndicator,4,0.3898635477582846
"Foreign direct investment, net inflows (BoP, current US$)",WDIEconomicIndicator,4,0.3898635477582846
"Foreign direct investment, net outflows (% of GDP)",WDIEconomicIndicator,30,2.923976608187134
"Foreign direct investment, net outflows (BoP, current US$)",WDIEconomicIndicator,30,2.923976608187134
GDP (constant 2015 US$),WDIEconomicIndicator,0,0.0
GDP (constant LCU),WDIEconomicIndicator,0,0.0
GDP (current LCU),WDIEconomicIndicator,0,0.0
GDP (current US$),WDIEconomicIndicator,0,0.0
GDP growth (annual %),WDIEconomicIndicator,0,0.0
GDP per capita (constant 2015 US$),WDIEconomicIndicator,0,0.0
GDP per capita (constant LCU),WDIEconomicIndicator,0,0.0
GDP per capita (current LCU),WDIEconomicIndicator,0,0.0
GDP per capita (current US$),WDIEconomicIndicator,0,0.0
GDP per capita growth (annual %),WDIEconomicIndicator,0,0.0
"GDP per capita, PPP (constant 2021 international $)",WDIEconomicIndicator,0,0.0
"GDP per capita, PPP (current international $)",WDIEconomicIndicator,0,0.0
"GDP, PPP (constant 2021 international $)",WDIEconomicIndicator,0,0.0
"GDP, PPP (current international $)",WDIEconomicIndicator,0,0.0
GDP: linked series (current LCU),WDIEconomicIndicator,0,0.0
GNI (current LCU),WDIEconomicIndicator,0,0.0
GNI (current US$),WDIEconomicIndicator,0,0.0
GNI per capita (current LCU),WDIEconomicIndicator,0,0.0
"GNI per capita, Atlas method (current US$)",WDIEconomicIndicator,0,0.0
"GNI per capita, PPP (current international $)",WDIEconomicIndicator,0,0.0
"GNI, Atlas method (current US$)",WDIEconomicIndicator,0,0.0
"GNI, PPP (current international $)",WDIEconomicIndicator,0,0.0
GNI: linked series (current LCU),WDIEconomicIndicator,0,0.0
General government final consumption expenditure (% of GDP),WDIEconomicIndicator,55,5.360623781676413
General government final consumption expenditure (current LCU),WDIEconomicIndicator,55,5.360623781676413
General government final consumption expenditure (current US$),WDIEconomicIndicator,55,5.360623781676413
"Goods exports (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Goods imports (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
Gross capital formation (% of GDP),WDIEconomicIndicator,30,2.923976608187134
Gross capital formation (current LCU),WDIEconomicIndicator,30,2.923976608187134
Gross capital formation (current US$),WDIEconomicIndicator,30,2.923976608187134
Gross domestic savings (% of GDP),WDIEconomicIndicator,48,4.678362573099415
Gross domestic savings (current LCU),WDIEconomicIndicator,48,4.678362573099415
Gross domestic savings (current US$),WDIEconomicIndicator,48,4.678362573099415
Gross national expenditure (% of GDP),WDIEconomicIndicator,48,4.678362573099415
Gross national expenditure (current LCU),WDIEconomicIndicator,48,4.678362573099415
Gross national expenditure (current US$),WDIEconomicIndicator,48,4.678362573099415
Gross value added at basic prices (GVA) (constant 2015 US$),WDIEconomicIndicator,29,2.8265107212475633
Gross value added at basic prices (GVA) (constant LCU),WDIEconomicIndicator,30,2.923976608187134
Gross value added at basic prices (GVA) (current LCU),WDIEconomicIndicator,2,0.1949317738791423
Gross value added at basic prices (GVA) (current US$),WDIEconomicIndicator,2,0.1949317738791423
Household and NPISHs Final consumption expenditure (current LCU),WDIEconomicIndicator,55,5.360623781676413
Household and NPISHs Final consumption expenditure (current US$),WDIEconomicIndicator,55,5.360623781676413
Households and NPISHs final consumption expenditure (% of GDP),WDIEconomicIndicator,55,5.360623781676413
Households and NPISHs final consumption expenditure: linked series (current LCU),WDIEconomicIndicator,55,5.360623781676413
Imports of goods and services (% of GDP),WDIEconomicIndicator,48,4.678362573099415
"Imports of goods and services (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
Imports of goods and services (current LCU),WDIEconomicIndicator,48,4.678362573099415
Imports of goods and services (current US$),WDIEconomicIndicator,48,4.678362573099415
"Imports of goods, services and primary income (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Industry (including construction), value added (% of GDP)",WDIEconomicIndicator,10,0.9746588693957114
"Industry (including construction), value added (annual % growth)",WDIEconomicIndicator,33,3.216374269005848
"Industry (including construction), value added (constant 2015 US$)",WDIEconomicIndicator,29,2.8265107212475633
"Industry (including construction), value added (constant LCU)",WDIEconomicIndicator,30,2.923976608187134
"Industry (including construction), value added (current LCU)",WDIEconomicIndicator,10,0.9746588693957114
"Industry (including construction), value added (current US$)",WDIEconomicIndicator,10,0.9746588693957114
"Insurance and financial services (% of service imports, BoP)",WDIEconomicIndicator,34,3.313840155945419
"Manufacturing, value added (% of GDP)",WDIEconomicIndicator,31,3.0214424951267054
"Manufacturing, value added (annual % growth)",WDIEconomicIndicator,65,6.3352826510721245
"Manufacturing, value added (constant 2015 US$)",WDIEconomicIndicator,61,5.9454191033138395
"Manufacturing, value added (constant LCU)",WDIEconomicIndicator,63,6.140350877192982
"Manufacturing, value added (current LCU)",WDIEconomicIndicator,31,3.0214424951267054
"Manufacturing, value added (current US$)",WDIEconomicIndicator,31,3.0214424951267054
"Net errors and omissions (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Net financial account (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Net primary income (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
Net primary income (Net income from abroad) (current LCU),WDIEconomicIndicator,21,2.046783625730994
Net primary income (Net income from abroad) (current US$),WDIEconomicIndicator,21,2.046783625730994
"Net secondary income (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
Net secondary income (Net current transfers from abroad) (current LCU),WDIEconomicIndicator,50,4.8732943469785575
Net secondary income (Net current transfers from abroad) (current US$),WDIEconomicIndicator,50,4.8732943469785575
"Net trade in goods (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Net trade in goods and services (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"PPP conversion factor, GDP (LCU per international $)",WDIEconomicIndicator,0,0.0
"PPP conversion factor, private consumption (LCU per international $)",WDIEconomicIndicator,0,0.0
"Personal remittances, paid (current US$)",WDIEconomicIndicator,36,3.508771929824561
"Personal remittances, received (% of GDP)",WDIEconomicIndicator,6,0.5847953216374269
"Personal remittances, received (current US$)",WDIEconomicIndicator,6,0.5847953216374269
"Portfolio Investment, net (BoP, current US$)",WDIEconomicIndicator,10,0.9746588693957114
Price level ratio of PPP conversion factor (GDP) to market exchange rate,WDIEconomicIndicator,0,0.0
"Primary income payments (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Primary income receipts (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Reserves and related items (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Secondary income receipts (BoP, current US$)",WDIEconomicIndicator,68,6.627680311890838
"Secondary income, other sectors, payments (BoP, current US$)",WDIEconomicIndicator,15,1.461988304093567
"Service exports (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Service imports (BoP, current US$)",WDIEconomicIndicator,2,0.1949317738791423
"Services, value added (% of GDP)",WDIEconomicIndicator,10,0.9746588693957114
"Services, value added (annual % growth)",WDIEconomicIndicator,34,3.313840155945419
"Services, value added (constant 2015 US$)",WDIEconomicIndicator,29,2.8265107212475633
"Services, value added (constant LCU)",WDIEconomicIndicator,30,2.923976608187134
"Services, value added (current LCU)",WDIEconomicIndicator,10,0.9746588693957114
"Services, value added (current US$)",WDIEconomicIndicator,10,0.9746588693957114
Taxes less subsidies on products (current LCU),WDIEconomicIndicator,2,0.1949317738791423
Taxes less subsidies on products (current US$),WDIEconomicIndicator,2,0.1949317738791423
"Total reserves (includes gold, current US$)",WDIEconomicIndicator,1,0.09746588693957114
Total reserves minus gold (current US$),WDIEconomicIndicator,1,0.09746588693957114
Trade (% of GDP),WDIEconomicIndicator,48,4.678362573099415
Trade in services (% of GDP),WDIEconomicIndicator,2,0.1949317738791423
"Transport services (% of service exports, BoP)",WDIEconomicIndicator,33,3.216374269005848
"Transport services (% of service imports, BoP)",WDIEconomicIndicator,32,3.1189083820662766
"Travel services (% of service exports, BoP)",WDIEconomicIndicator,24,2.3391812865497075
"Travel services (% of service imports, BoP)",WDIEconomicIndicator,24,2.3391812865497075
"Compulsory education, duration (years)",WDIEducationIndicator,14,1.364522417153996
Lower secondary school starting age (years),WDIEducationIndicator,0,0.0
"Primary education, duration (years)",WDIEducationIndicator,0,0.0
"Primary education, pupils",WDIEducationIndicator,62,6.042884990253411
Primary school starting age (years),WDIEducationIndicator,0,0.0
"School enrollment, primary (% gross)",WDIEducationIndicator,76,7.4074074074074066
"Secondary education, duration (years)",WDIEducationIndicator,0,0.0
Access to electricity (% of population),WDIEnvironmentIndicator,0,0.0
"Access to electricity, rural (% of rural population)",WDIEnvironmentIndicator,3,0.29239766081871343
"Access to electricity, urban (% of urban population)",WDIEnvironmentIndicator,0,0.0
Agricultural land (% of land area),WDIEnvironmentIndicator,20,1.949317738791423
Agricultural land (sq. km),WDIEnvironmentIndicator,65,6.3352826510721245
Aquaculture production (metric tons),WDIEnvironmentIndicator,39,3.8011695906432745
Arable land (% of land area),WDIEnvironmentIndicator,19,1.8518518518518516
Arable land (hectares per person),WDIEnvironmentIndicator,65,6.3352826510721245
Arable land (hectares),WDIEnvironmentIndicator,65,6.3352826510721245
Capture fisheries production (metric tons),WDIEnvironmentIndicator,2,0.1949317738791423
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),WDIEnvironmentIndicator,0,0.0
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),WDIEnvironmentIndicator,0,0.0
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),WDIEnvironmentIndicator,19,1.8518518518518516
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Carbon intensity of GDP (kg CO2e per 2021 PPP $),WDIEnvironmentIndicator,0,0.0
Carbon intensity of GDP (kg CO2e per constant 2021 US$ of GDP),WDIEnvironmentIndicator,0,0.0
Coal rents (% of GDP),WDIEnvironmentIndicator,48,4.678362573099415
Energy intensity level of primary energy (MJ/$2017 PPP GDP),WDIEnvironmentIndicator,9,0.8771929824561403
Fertilizer consumption (kilograms per hectare of arable land),WDIEnvironmentIndicator,32,3.1189083820662766
Forest area (% of land area),WDIEnvironmentIndicator,37,3.6062378167641325
Forest area (sq. km),WDIEnvironmentIndicator,37,3.6062378167641325
Forest rents (% of GDP),WDIEnvironmentIndicator,48,4.678362573099415
Land area (sq. km),WDIEnvironmentIndicator,1,0.09746588693957114
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),WDIEnvironmentIndicator,0,0.0
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Methane (CH4) emissions from Agriculture (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Methane (CH4) emissions from Building (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Methane (CH4) emissions from Waste (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Mineral rents (% of GDP),WDIEnvironmentIndicator,48,4.678362573099415
Natural gas rents (% of GDP),WDIEnvironmentIndicator,48,4.678362573099415
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),WDIEnvironmentIndicator,0,0.0
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),WDIEnvironmentIndicator,38,3.7037037037037033
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Oil rents (% of GDP),WDIEnvironmentIndicator,58,5.653021442495127
Permanent cropland (% of land area),WDIEnvironmentIndicator,38,3.7037037037037033
Population density (people per sq. km of land area),WDIEnvironmentIndicator,1,0.09746588693957114
Renewable energy consumption (% of total final energy consumption),WDIEnvironmentIndicator,46,4.483430799220272
Rural population,WDIEnvironmentIndicator,0,0.0
Rural population (% of total population),WDIEnvironmentIndicator,0,0.0
Rural population growth (annual %),WDIEnvironmentIndicator,74,7.212475633528265
Surface area (sq. km),WDIEnvironmentIndicator,1,0.09746588693957114
Total fisheries production (metric tons),WDIEnvironmentIndicator,39,3.8011695906432745
Total greenhouse gas emissions excluding LULUCF (% change from 1990),WDIEnvironmentIndicator,0,0.0
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),WDIEnvironmentIndicator,0,0.0
Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),WDIEnvironmentIndicator,0,0.0
Total natural resources rents (% of GDP),WDIEnvironmentIndicator,48,4.678362573099415
Urban population,WDIEnvironmentIndicator,0,0.0
Urban population (% of total population),WDIEnvironmentIndicator,0,0.0
Urban population growth (annual %),WDIEnvironmentIndicator,0,0.0
Consumer price index (2010 = 100),WDIFinancialSectorIndicator,0,0.0
DEC alternative conversion factor (LCU per US$),WDIFinancialSectorIndicator,0,0.0
GDP deflator (base year varies by country),WDIFinancialSectorIndicator,0,0.0
GDP deflator: linked series (base year varies by country),WDIFinancialSectorIndicator,0,0.0
"Inflation, GDP deflator (annual %)",WDIFinancialSectorIndicator,0,0.0
"Inflation, GDP deflator: linked series (annual %)",WDIFinancialSectorIndicator,0,0.0
"Inflation, consumer prices (annual %)",WDIFinancialSectorIndicator,0,0.0
"Official exchange rate (LCU per US$, period average)",WDIFinancialSectorIndicator,0,0.0
Proportion of seats held by women in national parliaments (%),WDIGenderIndicator,49,4.775828460038986
Women Business and the Law Index Score (scale 1-100),WDIGenderIndicator,18,1.7543859649122806
"Adolescent fertility rate (births per 1,000 women ages 15-19)",WDIHealthIndicator,0,0.0
Age dependency ratio (% of working-age population),WDIHealthIndicator,0,0.0
"Age dependency ratio, old (% of working-age population)",WDIHealthIndicator,0,0.0
"Age dependency ratio, young (% of working-age population)",WDIHealthIndicator,0,0.0
"Birth rate, crude (per 1,000 people)",WDIHealthIndicator,0,0.0
"Death rate, crude (per 1,000 people)",WDIHealthIndicator,0,0.0
"Fertility rate, total (births per woman)",WDIHealthIndicator,0,0.0
"Immunization, DPT (% of children ages 12-23 months)",WDIHealthIndicator,36,3.508771929824561
"Immunization, measles (% of children ages 12-23 months)",WDIHealthIndicator,36,3.508771929824561
"Incidence of tuberculosis (per 100,000 people)",WDIHealthIndicator,0,0.0
"Life expectancy at birth, female (years)",WDIHealthIndicator,0,0.0
"Life expectancy at birth, male (years)",WDIHealthIndicator,0,0.0
"Life expectancy at birth, total (years)",WDIHealthIndicator,0,0.0
"Mortality rate, adult, female (per 1,000 female adults)",WDIHealthIndicator,52,5.0682261208577
"Mortality rate, adult, male (per 1,000 male adults)",WDIHealthIndicator,52,5.0682261208577
People practicing open defecation (% of population),WDIHealthIndicator,6,0.5847953216374269
People using at least basic drinking water services (% of population),WDIHealthIndicator,31,3.0214424951267054
People using at least basic sanitation services (% of population),WDIHealthIndicator,5,0.4873294346978557
Population ages 0-14 (% of total population),WDIHealthIndicator,0,0.0
"Population ages 0-14, female",WDIHealthIndicator,0,0.0
"Population ages 0-14, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 0-14, male",WDIHealthIndicator,0,0.0
"Population ages 0-14, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 0-14, total",WDIHealthIndicator,0,0.0
"Population ages 00-04, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 00-04, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 05-09, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 05-09, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 10-14, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 10-14, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 15-19, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 15-19, male (% of male population)",WDIHealthIndicator,0,0.0
Population ages 15-64 (% of total population),WDIHealthIndicator,0,0.0
"Population ages 15-64, female",WDIHealthIndicator,0,0.0
"Population ages 15-64, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 15-64, male",WDIHealthIndicator,0,0.0
"Population ages 15-64, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 15-64, total",WDIHealthIndicator,0,0.0
"Population ages 20-24, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 20-24, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 25-29, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 25-29, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 30-34, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 30-34, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 35-39, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 35-39, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 40-44, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 40-44, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 45-49, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 45-49, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 50-54, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 50-54, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 55-59, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 55-59, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 60-64, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 60-64, male (% of male population)",WDIHealthIndicator,0,0.0
Population ages 65 and above (% of total population),WDIHealthIndicator,0,0.0
"Population ages 65 and above, female",WDIHealthIndicator,0,0.0
"Population ages 65 and above, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 65 and above, male",WDIHealthIndicator,0,0.0
"Population ages 65 and above, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 65 and above, total",WDIHealthIndicator,0,0.0
"Population ages 65-69, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 65-69, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 70-74, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 70-74, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 75-79, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 75-79, male (% of male population)",WDIHealthIndicator,0,0.0
"Population ages 80 and above, female (% of female population)",WDIHealthIndicator,0,0.0
"Population ages 80 and above, male (% of male population)",WDIHealthIndicator,0,0.0
Population growth (annual %),WDIHealthIndicator,0,0.0
"Population, female",WDIHealthIndicator,0,0.0
"Population, female (% of total population)",WDIHealthIndicator,0,0.0
"Population, male",WDIHealthIndicator,0,0.0
"Population, male (% of total population)",WDIHealthIndicator,0,0.0
"Population, total",WDIHealthIndicator,0,0.0
Sex ratio at birth (male births per female births),WDIHealthIndicator,0,0.0
"Survival to age 65, female (% of cohort)",WDIHealthIndicator,0,0.0
"Survival to age 65, male (% of cohort)",WDIHealthIndicator,0,0.0
"Tuberculosis case detection rate (%, all forms)",WDIHealthIndicator,12,1.1695906432748537
Fixed broadband subscriptions,WDIInfrastructureIndicator,6,0.5847953216374269
Fixed broadband subscriptions (per 100 people),WDIInfrastructureIndicator,6,0.5847953216374269
Fixed telephone subscriptions,WDIInfrastructureIndicator,4,0.3898635477582846
Fixed telephone subscriptions (per 100 people),WDIInfrastructureIndicator,4,0.3898635477582846
Individuals using the Internet (% of population),WDIInfrastructureIndicator,1,0.09746588693957114
Mobile cellular subscriptions,WDIInfrastructureIndicator,1,0.09746588693957114
Mobile cellular subscriptions (per 100 people),WDIInfrastructureIndicator,4,0.3898635477582846
Scientific and technical journal articles,WDIInfrastructureIndicator,36,3.508771929824561
Agricultural raw materials exports (% of merchandise exports),WDIPrivateSectorIndicator,4,0.3898635477582846
Agricultural raw materials imports (% of merchandise imports),WDIPrivateSectorIndicator,6,0.5847953216374269
Commercial service exports (current US$),WDIPrivateSectorIndicator,2,0.1949317738791423
Commercial service imports (current US$),WDIPrivateSectorIndicator,2,0.1949317738791423
"Computer, communications and other services (% of commercial service exports)",WDIPrivateSectorIndicator,24,2.3391812865497075
"Computer, communications and other services (% of commercial service imports)",WDIPrivateSectorIndicator,23,2.241715399610136
Export unit value index (2015 = 100),WDIPrivateSectorIndicator,0,0.0
Export value index (2015 = 100),WDIPrivateSectorIndicator,65,6.3352826510721245
Export volume index (2015 = 100),WDIPrivateSectorIndicator,65,6.3352826510721245
Food exports (% of merchandise exports),WDIPrivateSectorIndicator,4,0.3898635477582846
Food imports (% of merchandise imports),WDIPrivateSectorIndicator,6,0.5847953216374269
Fuel exports (% of merchandise exports),WDIPrivateSectorIndicator,9,0.8771929824561403
Fuel imports (% of merchandise imports),WDIPrivateSectorIndicator,6,0.5847953216374269
Import unit value index (2015 = 100),WDIPrivateSectorIndicator,0,0.0
Import value index (2015 = 100),WDIPrivateSectorIndicator,65,6.3352826510721245
Import volume index (2015 = 100),WDIPrivateSectorIndicator,65,6.3352826510721245
Insurance and financial services (% of commercial service imports),WDIPrivateSectorIndicator,34,3.313840155945419
"International tourism, number of arrivals",WDIPrivateSectorIndicator,149,14.5224171539961
Manufactures exports (% of merchandise exports),WDIPrivateSectorIndicator,4,0.3898635477582846
