Feature,Dtype,# Count,# NaN,# Unique,# Dupes,Min,Max,% NaN,% Zero,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
"Adjusted net savings, including particulate emission damage (current US$)",float64,118,677,118,0,-11166411849.302,2869513259074.11,85.157,0.0,72345005961.745,5895362375.433,289008912375.757,77.072,8.277
Adjusted savings: carbon dioxide damage (% of GNI),float64,232,563,231,1,0.077,8.623,70.818,0.0,1.854,1.392,1.378,4.683,1.884
Adjusted savings: carbon dioxide damage (current US$),float64,208,587,208,0,434736.044,482501204649.873,73.836,0.0,7224226285.641,447990665.701,37694543399.36,127.149,10.668
Adjusted savings: consumption of fixed capital (% of GNI),float64,232,563,231,1,1.226,34.64,70.818,0.0,13.431,12.88,5.657,-0.005,0.366
Adjusted savings: consumption of fixed capital (current US$),float64,194,601,194,0,6679554.772,4661660943961.02,75.597,0.0,91133354407.132,3532466330.506,448944109066.068,80.455,8.687
Adjusted savings: education expenditure (% of GNI),float64,247,548,245,2,0.5,23.629,68.931,0.0,4.133,3.888,2.274,22.893,3.364
Adjusted savings: education expenditure (current US$),float64,180,615,180,0,13736000.657,1046599480744.69,77.358,0.0,19744394430.824,1376689894.04,85330277936.513,119.143,10.199
Adjusted savings: energy depletion (% of GNI),float64,231,564,171,3,0.0,57.199,70.943,7.421,2.04,0.182,5.426,49.14,5.935
Adjusted savings: energy depletion (current US$),float64,206,589,138,2,0.0,178211930410.197,74.088,8.553,5045024481.834,14997029.642,19385103084.045,51.039,6.772
Adjusted savings: gross savings (% of GNI),float64,176,619,175,1,-10.786,52.234,77.862,0.0,24.75,24.4,10.151,0.841,-0.013
Adjusted savings: mineral depletion (% of GNI),float64,233,562,132,3,0.0,22.66,70.692,12.579,1.164,0.022,2.879,25.17,4.511
Adjusted savings: mineral depletion (current US$),float64,216,579,94,1,0.0,68601047572.282,72.83,15.472,1817528401.402,0.0,7217314600.858,50.485,6.562
Adjusted savings: natural resources depletion (% of GNI),float64,214,581,211,2,0.0,57.302,73.082,0.377,4.391,1.621,6.874,18.294,3.469
Adjusted savings: net forest depletion (% of GNI),float64,214,581,140,5,0.0,17.54,73.082,8.931,0.928,0.031,2.304,20.829,4.169
Adjusted savings: net forest depletion (current US$),float64,183,612,112,1,0.0,6355359642.278,76.981,9.057,271313889.408,718503.054,913609673.367,28.582,5.202
Adjusted savings: net national savings (% of GNI),float64,176,619,175,1,-25.092,38.384,77.862,0.0,10.693,9.371,9.845,1.531,0.056
Adjusted savings: net national savings (current US$),float64,134,661,134,0,-15896717478.624,3299021688260.2,83.145,0.0,61975955379.559,6273310862.335,293956393109.528,112.721,10.267
Adjusted savings: particulate emission damage (% of GNI),float64,204,591,201,3,0.009,7.09,74.34,0.0,0.635,0.349,0.779,22.715,3.514
Adjusted savings: particulate emission damage (current US$),float64,164,631,164,0,1556880.478,83796153616.442,79.371,0.0,1393406330.257,161033061.684,7258586707.319,106.363,9.862
"Adolescent fertility rate (births per 1,000 women ages 15-19)",float64,530,265,526,4,0.473,163.575,33.333,0.0,41.087,31.092,36.569,0.613,1.097
Adolescents out of school (% of lower secondary school age),float64,351,444,351,0,0.0,72.292,55.849,0.0,12.138,5.481,15.552,2.464,1.762
"Adolescents out of school, female (% of female lower secondary school age)",float64,287,508,287,0,0.02,72.972,63.899,0.0,14.128,6.963,16.457,1.694,1.576
"Adolescents out of school, male (% of male lower secondary school age)",float64,289,506,289,0,0.105,71.634,63.648,0.0,14.952,8.399,16.215,1.455,1.459
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,float64,258,537,100,46,100.0,1400000.0,67.547,0.0,17628.488,1300.0,119642.137,120.54,10.895
Adults (ages 15-49) newly infected with HIV,float64,261,534,77,31,100.0,1100000.0,67.17,0.0,13857.854,1000.0,96901.288,121.248,10.937
Age dependency ratio (% of working-age population),float64,795,0,793,2,19.96,105.588,0.0,0.0,58.243,54.822,15.022,0.336,0.686
"Age dependency ratio, old (% of working-age population)",float64,795,0,789,6,1.568,74.792,0.0,0.0,15.277,11.627,10.644,2.46,1.277
"Age dependency ratio, young (% of working-age population)",float64,795,0,789,6,15.519,101.18,0.0,0.0,42.86,36.155,20.371,-0.533,0.78
Agricultural irrigated land (% of total agricultural land),float64,41,754,41,0,0.003,78.903,94.843,0.0,13.924,8.759,18.196,5.582,2.286
Agricultural land (% of land area),float64,511,284,390,121,0.449,84.554,35.723,0.0,37.511,39.291,20.834,-0.653,0.152
Agricultural land (sq. km),float64,258,537,253,4,3.0,47812049.113,67.547,0.0,1979502.352,56685.94,5642899.32,28.576,4.852
Agricultural raw materials exports (% of merchandise exports),float64,574,221,565,7,0.0,76.639,27.799,0.503,2.801,1.18,7.467,69.552,7.907
Agricultural raw materials imports (% of merchandise imports),float64,577,218,575,2,0.061,5.978,27.421,0.0,1.277,1.142,0.771,7.023,1.796
Agriculture census (Availability score over 20 years),float64,570,225,3,3,0.0,1.0,28.302,16.73,0.668,1.0,0.416,-1.202,-0.693
Agriculture survey (Availability score over 10 years),float64,570,225,4,4,0.0,1.0,28.302,28.679,0.455,0.33,0.437,-1.7,0.214
"Agriculture, forestry, and fishing, value added (% of GDP)",float64,689,106,688,1,0.011,47.813,13.333,0.0,10.109,7.22,9.304,0.926,1.184
"Agriculture, forestry, and fishing, value added (annual % growth)",float64,681,114,680,1,-33.267,246.469,14.34,0.0,1.927,2.038,12.823,195.909,10.443
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",float64,678,117,677,1,198857.847,3968878576556.088,14.717,0.0,172107539260.87,4561477787.965,538422673722.196,21.777,4.51
"Agriculture, forestry, and fishing, value added (constant LCU)",float64,545,250,545,0,162083.864,1582522000000000.0,31.447,0.0,22269644748831.215,28627600000.0,163020247135206.25,74.903,8.609
"Agriculture, forestry, and fishing, value added (current LCU)",float64,553,242,553,0,199841.3,1.8360183e+16,30.44,0.0,96730418494575.33,48054000000.0,1042445801214098.5,224.039,14.434
"Agriculture, forestry, and fishing, value added (current US$)",float64,687,108,686,1,210442.554,4356291922466.728,13.585,0.0,187295789969.812,5339627200.916,589379171893.684,22.289,4.554
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",float64,636,159,630,6,216.18,270065.854,20.0,0.0,15189.932,5971.813,26042.703,27.135,4.376
"Air transport, freight (million ton-km)",float64,179,616,177,2,0.0,219227.328,77.484,0.0,9272.277,219.627,27377.721,28.987,4.959
"Air transport, passengers carried",float64,203,592,200,3,523.761,2279974770.123,74.465,0.0,95587718.333,2437207.0,281617715.307,22.65,4.321
"Air transport, registered carrier departures worldwide",float64,203,592,201,2,9.328,24054588.846,74.465,0.0,982912.831,37123.0,2943336.273,24.733,4.541
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",float64,228,567,224,3,0.0,99.485,71.321,0.377,56.725,66.089,31.213,-1.101,-0.53
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",float64,228,567,226,2,0.455,164.674,71.321,0.0,26.577,16.72,24.364,4.913,1.9
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",float64,227,568,219,3,0.0,92.293,71.447,0.881,16.845,7.681,20.567,1.944,1.645
"Annual freshwater withdrawals, total (% of internal resources)",float64,224,571,223,1,0.021,7750.0,71.824,0.0,105.696,8.645,604.557,122.205,10.441
"Annual freshwater withdrawals, total (billion cubic meters)",float64,228,567,226,2,0.004,3948.718,71.321,0.0,174.504,4.791,523.791,23.584,4.593
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",float64,69,726,67,2,-3.98,14.51,91.321,0.0,2.683,2.38,3.313,2.487,1.005
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",float64,69,726,68,1,-4.71,13.46,91.321,0.0,1.797,1.48,3.071,2.148,0.828
Antiretroviral therapy coverage (% of people living with HIV),float64,310,485,113,64,9.0,95.0,61.006,0.0,64.945,68.803,18.474,0.016,-0.722
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),float64,198,597,95,52,2.0,100.0,75.094,0.0,67.035,77.0,27.841,-0.711,-0.733
Aquaculture production (metric tons),float64,476,319,433,21,0.0,126935292.97,40.126,0.755,5711295.03,12040.65,22273302.935,17.781,4.353
Arable land (% of land area),float64,506,289,378,128,0.051,60.521,36.352,0.0,13.679,10.079,12.99,1.589,1.416
Arable land (hectares per person),float64,255,540,253,2,0.0,1.503,67.925,0.0,0.184,0.13,0.202,11.267,2.821
Arable land (hectares),float64,207,588,194,8,70.0,157736800.0,73.962,0.0,6743790.35,1100000.0,20139860.217,36.18,5.72
Arms exports (SIPRI trend indicator values),float64,200,595,146,30,0.0,33544000000.0,74.843,0.252,3026290000.0,134000000.0,6652595094.65,7.638,2.853
Arms imports (SIPRI trend indicator values),float64,473,322,281,72,0.0,33277000000.0,40.503,1.006,1589143763.214,122000000.0,3828443641.003,21.23,4.041
"Automated teller machines (ATMs) (per 100,000 adults)",float64,201,594,171,23,0.78,316.31,74.717,0.0,47.671,40.02,44.426,10.605,2.609
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),float64,651,144,3,3,0.0,1.0,18.113,39.748,0.466,0.5,0.474,-1.879,0.135
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",float64,651,144,2,2,0.0,1.0,18.113,13.962,0.829,1.0,0.376,1.088,-1.756
Average precipitation in depth (mm per year),float64,182,613,174,8,18.1,3240.0,77.107,0.0,1170.66,1031.0,800.866,-0.434,0.639
Average time to clear exports through customs (days),float64,98,697,86,11,1.1,27.6,87.673,0.0,7.876,7.164,4.995,2.982,1.478
Average transaction cost of sending remittances from a specific country (%),float64,133,662,133,0,0.41,16.86,83.27,0.0,4.483,3.545,3.325,3.259,1.869
Average transaction cost of sending remittances to a specific country (%),float64,285,510,278,5,-49.693,19.63,64.151,0.126,3.804,3.28,4.474,72.684,-5.691
Bank capital to assets ratio (%),float64,261,534,261,0,-1.323,40.01,67.17,0.0,9.126,8.846,3.577,20.768,2.691
Bank liquid reserves to bank assets ratio (%),float64,524,271,452,52,0.334,240.766,34.088,0.0,25.962,20.769,24.521,24.02,3.937
Bank nonperforming loans to total gross loans (%),float64,263,532,263,0,0.233,58.962,66.918,0.0,5.783,3.5,8.029,22.538,4.309
Battle-related deaths (number of people),float64,163,632,145,15,1.0,274491.0,79.497,0.0,23447.601,851.0,53208.382,5.854,2.57
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),float64,2,793,2,0,1.175,3.315,99.748,0.0,2.245,2.245,1.513,.,.
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),float64,4,791,4,0,7.129,24.3,99.497,0.0,15.201,14.687,7.667,-2.374,0.273
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),float64,4,791,4,0,18.42,44.515,99.497,0.0,27.686,23.904,11.518,3.171,1.684
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),float64,1,794,1,0,18.861,18.861,99.874,0.0,18.861,18.861,,.,.
"Binding coverage, all products (%)",float64,275,520,64,14,0.0,100.0,65.409,14.088,49.585,39.84,46.683,-1.906,0.03
"Binding coverage, manufactured products (%)",float64,275,520,56,12,0.0,100.0,65.409,14.088,48.535,33.23,47.601,-1.934,0.073
"Binding coverage, primary products (%)",float64,275,520,56,20,0.0,100.0,65.409,14.088,52.626,58.64,45.662,-1.822,-0.169
"Birth rate, crude (per 1,000 people)",float64,524,271,468,36,4.4,45.293,34.088,0.0,18.519,15.96,9.535,-0.5,0.753
Births attended by skilled health staff (% of total),float64,29,766,22,3,43.7,100.0,96.352,0.0,90.814,99.0,16.879,3.164,-2.072
"Borrowers from commercial banks (per 1,000 adults)",float64,321,474,283,30,0.813,984.775,59.623,0.0,242.634,224.065,182.167,1.204,1.0
"Bound rate, simple mean, all products (%)",float64,163,632,115,23,0.0,158.91,79.497,0.377,31.224,21.77,30.198,1.99,1.458
"Bound rate, simple mean, manufactured products (%)",float64,163,632,115,23,0.0,120.0,79.497,0.377,25.461,17.15,23.531,1.669,1.35
"Bound rate, simple mean, primary products (%)",float64,163,632,112,25,0.0,179.79,79.497,0.377,37.792,26.92,35.591,1.248,1.276
Bribery incidence (% of firms experiencing at least one bribe payment request),float64,103,692,94,9,0.0,50.5,87.044,0.252,12.64,10.915,9.451,1.145,0.86
Broad money (% of GDP),float64,483,312,477,6,0.019,461.607,39.245,0.0,77.494,65.084,56.455,12.924,2.815
Broad money (current LCU),float64,389,406,389,0,14391059.191,1.31096580749947e+16,51.069,0.0,191719721978297.47,1547988202815.4,1218833953781578.8,73.435,8.293
Broad money growth (annual %),float64,389,406,389,0,-20.264,708.929,51.069,0.0,14.573,8.683,43.067,189.801,12.79
Broad money to total reserves ratio,float64,345,450,345,0,0.001,43.141,56.604,0.0,4.769,2.907,6.306,17.058,3.953
Business process,float64,573,222,2,2,0.0,1.0,27.925,47.547,0.34,0.0,0.474,-1.549,0.676
Business/establishment census (Availability score over 20 years),float64,570,225,3,3,0.0,1.0,28.302,17.862,0.74,1.0,0.433,-0.758,-1.099
Business/establishment survey (Availability score over 10 years),float64,570,225,4,4,0.0,1.0,28.302,36.981,0.431,0.0,0.475,-1.839,0.295
CPI base year,float64,579,216,3,3,0.0,1.0,27.17,19.371,0.478,0.5,0.349,-0.937,0.061
CPIA building human resources rating (1=low to 6=high),float64,343,452,65,31,1.5,5.0,56.855,0.0,3.591,3.525,0.58,0.382,-0.389
CPIA business regulatory environment rating (1=low to 6=high),float64,343,452,52,30,1.0,4.5,56.855,0.0,2.979,3.0,0.529,1.675,-0.47
CPIA debt policy rating (1=low to 6=high),float64,343,452,66,31,1.5,5.0,56.855,0.0,3.095,3.095,0.79,-0.189,-0.227
CPIA economic management cluster average (1=low to 6=high),float64,343,452,105,37,1.167,4.333,56.855,0.0,3.165,3.167,0.62,0.251,-0.625
CPIA efficiency of revenue mobilization rating (1=low to 6=high),float64,343,452,57,29,2.0,4.5,56.855,0.0,3.272,3.321,0.513,0.121,-0.267
CPIA equity of public resource use rating (1=low to 6=high),float64,343,452,65,28,1.5,4.5,56.855,0.0,3.384,3.41,0.523,0.851,-0.24
CPIA financial sector rating (1=low to 6=high),float64,343,452,61,29,1.0,4.0,56.855,0.0,2.796,2.846,0.534,0.621,-0.497
CPIA fiscal policy rating (1=low to 6=high),float64,343,452,68,34,1.0,4.5,56.855,0.0,3.011,3.0,0.632,0.864,-0.651
CPIA gender equality rating (1=low to 6=high),float64,343,452,62,33,1.0,4.5,56.855,0.0,3.269,3.278,0.585,1.937,-0.726
CPIA macroeconomic management rating (1=low to 6=high),float64,343,452,69,31,1.0,4.5,56.855,0.0,3.39,3.5,0.658,0.687,-0.687
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),float64,343,452,105,38,1.5,4.4,56.855,0.0,3.29,3.379,0.448,1.905,-1.043
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),float64,343,452,54,27,1.0,4.5,56.855,0.0,3.166,3.214,0.542,1.866,-0.739
CPIA property rights and rule-based governance rating (1=low to 6=high),float64,343,452,64,31,1.0,4.0,56.855,0.0,2.856,3.0,0.637,0.411,-0.459
CPIA public sector management and institutions cluster average (1=low to 6=high),float64,343,452,108,45,1.3,4.1,56.855,0.0,2.967,3.0,0.508,0.864,-0.604
CPIA quality of budgetary and financial management rating (1=low to 6=high),float64,343,452,59,28,1.0,4.0,56.855,0.0,2.996,3.0,0.579,1.253,-0.623
CPIA quality of public administration rating (1=low to 6=high),float64,343,452,64,31,1.0,4.0,56.855,0.0,2.845,2.931,0.527,1.023,-0.402
CPIA social protection rating (1=low to 6=high),float64,343,452,58,27,1.0,4.0,56.855,0.0,3.041,3.0,0.487,1.926,-0.791
CPIA structural policies cluster average (1=low to 6=high),float64,343,452,90,35,1.167,4.167,56.855,0.0,3.166,3.176,0.466,2.582,-1.045
CPIA trade rating (1=low to 6=high),float64,343,452,59,31,1.5,4.5,56.855,0.0,3.724,3.833,0.52,3.39,-1.405
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",float64,343,452,69,32,1.0,4.5,56.855,0.0,2.867,3.0,0.689,0.26,-0.197
CRVS (WDI),float64,651,144,3,3,0.0,1.0,18.113,27.547,0.631,1.0,0.466,-1.628,-0.545
Capture fisheries production (metric tons),float64,512,283,488,13,0.0,92101202.44,35.597,1.384,3627369.853,84453.665,11331017.323,25.909,4.821
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),float64,690,105,679,5,-82.662,52827.273,13.208,0.755,697.586,131.614,4373.339,108.968,10.297
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),float64,753,42,724,12,0.0,39023.937,5.283,1.887,1399.598,24.164,4695.915,24.121,4.644
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),float64,753,42,730,10,0.0,81.209,5.283,1.887,4.498,2.602,7.047,51.958,5.931
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),float64,465,330,420,31,0.0,143.618,41.509,0.377,9.349,0.789,23.051,14.847,3.733
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),float64,723,72,703,18,0.0,3413.533,9.057,0.0,126.675,2.362,392.709,25.781,4.632
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),float64,714,81,527,25,0.0,2666.416,10.189,18.616,100.4,1.468,315.439,24.924,4.633
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),float64,723,72,702,19,0.004,6406.821,9.057,0.0,256.395,3.121,889.341,20.027,4.431
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),float64,753,42,648,40,0.0,3332.17,5.283,1.887,129.621,2.168,455.906,20.882,4.537
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),float64,726,69,707,15,0.0,14923.933,8.679,0.755,579.782,7.595,1993.097,20.602,4.436
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),float64,726,69,716,10,0.024,8239.045,8.679,0.0,250.596,7.975,803.02,38.941,5.473
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),float64,438,357,256,54,0.0,17.997,44.906,3.774,1.018,0.01,2.8,13.983,3.583
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),float64,3,792,1,1,3877.818,3877.818,99.623,0.0,3877.818,3877.818,0.0,.,0
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),float64,3,792,3,0,-5183.88,-5129.577,99.623,0.0,-5148.493,-5132.022,30.67,.,-1.72
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),float64,3,792,1,1,1154.091,1154.091,99.623,0.0,1154.091,1154.091,0.0,.,0
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),float64,3,792,1,1,-1152.506,-1152.506,99.623,0.0,-1152.506,-1152.506,0.0,.,0
Carbon intensity of GDP (kg CO2e per 2021 PPP $),float64,710,85,690,10,0.0,5.141,10.692,1.509,0.194,0.146,0.333,182.814,12.805
Carbon intensity of GDP (kg CO2e per constant 2021 US$ of GDP),float64,721,74,702,7,0.0,6.56,9.308,1.761,0.458,0.345,0.505,78.03,7.114
Central government accounting status,float64,579,216,3,3,0.0,1.0,27.17,36.981,0.406,0.0,0.445,-1.636,0.378
"Central government debt, total (% of GDP)",float64,134,661,132,2,15.393,233.537,83.145,0.0,71.892,63.791,41.054,3.292,1.523
"Central government debt, total (current LCU)",float64,115,680,115,0,1492173904.0,8880565529776930.0,85.535,0.0,206058314409615.16,1500222964612.17,1100126796141572.2,50.93,7.042
Cereal production (metric tons),float64,456,339,449,5,0.0,3071264098.7,42.642,0.252,133029768.659,3648746.5,387646069.748,23.406,4.499
Cereal yield (kg per hectare),float64,454,341,450,4,11.5,31620.7,42.893,0.0,3762.109,3285.347,3282.678,28.223,4.284
Changes in inventories (constant LCU),float64,286,509,274,8,-3192498275300.0,2270623664696800.0,64.025,0.503,17954400781076.926,2511050000.0,185262433100937.3,139.174,11.804
Changes in inventories (current LCU),float64,438,357,431,4,-59417000000000.0,1.3852045646007e+16,44.906,0.629,85398692831075.55,3815722500.0,1016554487395130.1,163.509,12.684
Changes in inventories (current US$),float64,436,359,432,1,-21162573122.572,222031231106.648,45.157,0.629,5983737273.199,462558834.034,20218782174.574,63.054,7.076
"Charges for the use of intellectual property, payments (BoP, current US$)",float64,576,219,566,8,480.0,586314567939.133,27.547,0.0,23193551285.376,385474733.405,78372675163.334,24.26,4.767
"Charges for the use of intellectual property, receipts (BoP, current US$)",float64,503,292,492,11,4.356,486916855600.876,36.73,0.0,19997938425.399,123620986.449,76360802519.861,25.175,4.984
Chemicals (% of value added in manufacturing),float64,90,705,90,0,0.059,29.148,88.679,0.0,5.717,3.705,6.197,4.953,2.187
Children (0-14) living with HIV,float64,187,608,97,30,100.0,1600000.0,76.478,0.0,31077.38,2500.0,162063.576,83.234,9.003
Children (ages 0-14) newly infected with HIV,float64,177,618,56,17,100.0,140000.0,77.736,0.0,2775.989,500.0,14353.426,82.354,9.027
Children out of school (% of primary school age),float64,370,425,369,1,0.002,48.947,53.459,0.0,7.649,4.253,9.031,3.368,1.843
"Children out of school, female (% of female primary school age)",float64,284,511,284,0,0.068,82.811,64.277,0.0,9.735,6.571,10.55,8.615,2.284
"Children out of school, male (% of male primary school age)",float64,283,512,283,0,0.029,42.474,64.403,0.0,9.432,6.119,9.07,1.736,1.477
"Children out of school, primary",float64,368,427,364,4,13.0,34620000.0,53.711,0.0,778018.663,21043.0,3901963.216,53.572,7.187
"Children out of school, primary, female",float64,284,511,282,2,4.0,16680000.0,64.277,0.0,494907.177,15267.0,2177517.235,38.671,6.145
"Children out of school, primary, male",float64,283,512,281,2,17.0,17870000.0,64.403,0.0,503553.777,13923.0,2245873.555,42.1,6.387
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),float64,5,790,4,1,2.7,31.4,99.371,0.0,17.98,15.3,10.955,-0.21,-0.258
Claims on central government (annual growth as % of broad money),float64,401,394,401,0,-90.729,341.373,49.56,0.0,6.111,2.195,27.236,74.32,7.544
"Claims on central government, etc. (% GDP)",float64,591,204,584,7,-153.391,151.966,25.66,0.0,14.717,13.224,22.268,14.546,-0.175
Claims on other sectors of the domestic economy (% of GDP),float64,146,649,143,3,8.817,239.286,81.635,0.0,68.814,52.739,53.636,1.917,1.526
Claims on other sectors of the domestic economy (annual growth as % of broad money),float64,376,419,376,0,-16.24,453.947,52.704,0.0,9.592,5.562,27.905,184.825,12.529
Claims on private sector (annual growth as % of broad money),float64,398,397,398,0,-25.95,425.488,49.937,0.0,8.074,4.707,24.323,225.759,13.837
Classification of household consumption,float64,579,216,2,2,0.0,1.0,27.17,7.673,0.895,1.0,0.307,4.66,-2.578
Classification of national industry,float64,573,222,3,3,0.0,1.0,27.925,11.321,0.686,1.0,0.37,-0.848,-0.718
Classification of status of employment,float64,573,222,2,2,0.0,1.0,27.925,10.189,0.859,1.0,0.349,2.269,-2.064
Coal rents (% of GDP),float64,236,559,112,2,0.0,17.18,70.314,15.597,0.228,0.0,1.207,167.923,12.267
