Feature,Dtype,# Count,# NaN,# Unique,# Dupes,Min,Max,% NaN,% Zero,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Adjusted net national income per capita (annual % growth),float64,43,212,43,0,-3.241,16.863,83.137,0.0,5.43,5.502,4.369,0.582,0.275
Adjusted net national income per capita (constant 2015 US$),float64,43,212,43,0,7318.721,65364.268,83.137,0.0,27203.439,22590.738,16031.863,-0.065,0.866
Adjusted net national income per capita (current US$),float64,51,204,51,0,6274.057,77781.176,80.0,0.0,30982.025,24724.867,18280.542,-0.405,0.732
"Adjusted net savings, excluding particulate emission damage (% of GNI)",float64,47,208,47,0,-10.208,31.631,81.569,0.0,10.786,9.883,8.151,0.336,0.065
"Adjusted net savings, excluding particulate emission damage (current US$)",float64,47,208,47,0,-10760647658.043,1032176568888.06,81.569,0.0,94132800834.596,26333976312.759,180031687554.071,17.331,3.87
"Adjusted net savings, including particulate emission damage (% of GNI)",float64,45,210,45,0,-10.323,31.552,82.353,0.0,11.06,10.833,8.122,0.44,0.013
"Adjusted net savings, including particulate emission damage (current US$)",float64,45,210,45,0,-11166411849.302,1016630476920.97,82.353,0.0,97482197791.209,33987744031.436,180816715639.008,16.429,3.775
Adjusted savings: carbon dioxide damage (% of GNI),float64,62,193,62,0,0.077,4.398,75.686,0.0,1.143,0.911,0.939,4.135,1.981
Adjusted savings: carbon dioxide damage (current US$),float64,77,178,77,0,2607668.174,210317902107.058,69.804,0.0,7692135469.879,1213645247.876,26048861104.539,49.778,6.651
Adjusted savings: consumption of fixed capital (% of GNI),float64,62,193,62,0,3.631,34.64,75.686,0.0,15.609,16.508,5.21,2.214,0.308
Adjusted savings: consumption of fixed capital (current US$),float64,70,185,70,0,19607480.279,3831586928396.06,72.549,0.0,154102124311.572,17221921417.84,492130667372.661,46.689,6.449
Adjusted savings: education expenditure (% of GNI),float64,73,182,73,0,0.5,11.761,71.373,0.0,4.471,4.402,1.944,2.29,0.905
Adjusted savings: education expenditure (current US$),float64,60,195,60,0,13736000.657,1046599480744.69,76.471,0.0,43789627070.689,6772466859.148,138564491983.823,48.37,6.678
Adjusted savings: energy depletion (% of GNI),float64,62,193,45,1,0.0,23.973,75.686,7.059,1.605,0.024,4.636,12.692,3.541
Adjusted savings: energy depletion (current US$),float64,76,179,50,1,0.0,178211930410.197,70.196,10.588,7788533723.232,31046590.387,27706268952.653,27.461,5.105
Adjusted savings: gross savings (% of GNI),float64,52,203,52,0,7.407,52.234,79.608,0.0,26.402,26.129,10.135,0.861,0.754
Adjusted savings: mineral depletion (% of GNI),float64,63,192,24,1,0.0,9.405,75.294,15.686,0.416,0.0,1.605,22.364,4.704
Adjusted savings: mineral depletion (current US$),float64,85,170,26,1,0.0,68601047572.282,66.667,23.529,1788875102.498,0.0,8402040152.872,49.491,6.644
Adjusted savings: natural resources depletion (% of GNI),float64,51,204,51,0,0.0,29.528,80.0,0.0,2.52,0.222,5.975,10.724,3.191
Adjusted savings: net forest depletion (% of GNI),float64,51,204,26,1,0.0,2.337,80.0,10.196,0.066,0.0,0.327,48.976,6.938
Adjusted savings: net forest depletion (current US$),float64,58,197,33,1,0.0,1910283870.828,77.255,10.196,72794879.574,83739.396,274456081.176,36.805,5.77
Adjusted savings: net national savings (% of GNI),float64,52,203,52,0,-3.945,38.384,79.608,0.0,9.995,8.656,9.59,1.674,1.232
Adjusted savings: net national savings (current US$),float64,52,203,52,0,-8440299722.306,472132090887.73,79.608,0.0,61820948098.595,17489393187.818,98312951051.28,7.38,2.606
Adjusted savings: particulate emission damage (% of GNI),float64,51,204,51,0,0.009,0.345,80.0,0.0,0.088,0.064,0.074,3.84,1.846
Adjusted savings: particulate emission damage (current US$),float64,55,200,55,0,3899020.555,15546091967.089,78.431,0.0,781293025.412,147066120.402,2197343402.654,39.141,5.906
"Adolescent fertility rate (births per 1,000 women ages 15-19)",float64,170,85,169,1,0.473,80.579,33.333,0.0,14.558,8.203,16.117,3.959,1.946
Adolescents out of school (% of lower secondary school age),float64,127,128,127,0,0.0,32.858,50.196,0.0,3.821,1.551,5.412,7.541,2.431
"Adolescents out of school, female (% of female lower secondary school age)",float64,92,163,92,0,0.068,31.695,63.922,0.0,4.579,2.346,5.703,6.967,2.395
"Adolescents out of school, male (% of male lower secondary school age)",float64,92,163,92,0,0.105,33.979,63.922,0.0,4.996,1.962,6.277,4.941,2.075
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,float64,59,196,18,7,100.0,5900.0,76.863,0.0,816.949,200.0,1336.63,7.799,2.852
Adults (ages 15-49) newly infected with HIV,float64,63,192,13,7,100.0,27000.0,75.294,0.0,1187.302,200.0,3514.601,48.653,6.668
Age dependency ratio (% of working-age population),float64,255,0,255,0,19.96,100.416,0.0,0.0,50.384,52.307,11.282,3.492,0.386
"Age dependency ratio, old (% of working-age population)",float64,255,0,255,0,1.568,74.792,0.0,0.0,24.162,25.837,11.54,2.7,0.586
"Age dependency ratio, young (% of working-age population)",float64,255,0,255,0,15.519,64.697,0.0,0.0,26.222,25.059,7.336,8.348,2.348
Agricultural irrigated land (% of total agricultural land),float64,18,237,18,0,0.003,44.469,92.941,0.0,9.401,2.414,12.619,2.475,1.702
Agricultural land (% of land area),float64,154,101,115,39,0.592,80.874,39.608,0.0,28.894,26.126,21.574,-0.696,0.521
Agricultural land (sq. km),float64,79,176,79,0,3.0,4058103.538,69.02,0.0,183285.712,9850.0,673083.958,23.084,4.764
Agricultural raw materials exports (% of merchandise exports),float64,180,75,179,1,0.0,14.085,29.412,0.784,1.819,0.883,2.764,6.654,2.605
Agricultural raw materials imports (% of merchandise imports),float64,181,74,181,0,0.061,3.977,29.02,0.0,1.063,0.97,0.7,2.729,1.29
Agriculture census (Availability score over 20 years),float64,180,75,3,3,0.0,1.0,29.412,12.157,0.794,1.0,0.384,0.319,-1.463
Agriculture survey (Availability score over 10 years),float64,180,75,4,4,0.0,1.0,29.412,20.0,0.683,1.0,0.45,-1.31,-0.793
"Agriculture, forestry, and fishing, value added (% of GDP)",float64,190,65,190,0,0.011,18.913,25.49,0.0,2.237,1.648,2.811,17.969,3.86
"Agriculture, forestry, and fishing, value added (annual % growth)",float64,183,72,183,0,-32.36,68.673,28.235,0.0,1.668,0.994,12.499,4.968,0.892
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",float64,180,75,180,0,198857.847,60862513421.72,29.412,0.0,8188692230.52,3016366279.707,12795224762.11,3.903,2.061
"Agriculture, forestry, and fishing, value added (constant LCU)",float64,183,72,183,0,162083.864,33070800000000.0,28.235,0.0,815396684584.108,3717705000.0,4280528760191.557,48.824,6.892
"Agriculture, forestry, and fishing, value added (current LCU)",float64,190,65,190,0,199841.3,38601500000000.0,25.49,0.0,934200397258.08,4137183000.0,4764765523867.656,49.018,6.86
"Agriculture, forestry, and fishing, value added (current US$)",float64,190,65,190,0,210442.554,223723739000.0,25.49,0.0,10141184790.056,2381399654.21,21751076812.645,49.75,5.808
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",float64,157,98,157,0,5825.214,146480.133,38.431,0.0,39110.181,29170.962,30625.963,2.801,1.719
"Air transport, freight (million ton-km)",float64,48,207,48,0,0.022,46004.646,81.176,0.0,3556.031,511.871,7667.663,20.023,4.022
"Air transport, passengers carried",float64,54,201,54,0,3344.0,666153000.0,78.824,0.0,24921228.372,2762380.5,90937557.454,49.075,6.872
"Air transport, registered carrier departures worldwide",float64,54,201,54,0,72.0,8005775.0,78.824,0.0,282054.243,56067.5,1086566.013,50.776,7.032
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",float64,58,197,57,1,0.0,94.345,77.255,0.784,31.09,25.517,29.032,-0.905,0.64
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",float64,58,197,57,1,3.985,164.674,77.255,0.0,38.034,27.327,29.526,4.915,1.802
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",float64,57,198,55,1,0.0,92.293,77.647,1.176,32.589,24.214,27.884,-1.171,0.436
"Annual freshwater withdrawals, total (% of internal resources)",float64,55,200,55,0,0.171,3877.5,78.431,0.0,146.3,12.324,568.564,36.041,5.761
"Annual freshwater withdrawals, total (billion cubic meters)",float64,58,197,58,0,0.004,444.396,77.255,0.0,16.311,1.669,59.295,49.825,6.858
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",float64,31,224,30,1,-1.04,14.51,87.843,0.0,3.911,3.14,3.25,2.424,1.194
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",float64,31,224,31,0,-1.43,13.46,87.843,0.0,3.349,3.11,2.968,3.191,1.37
Antiretroviral therapy coverage (% of people living with HIV),float64,57,198,32,16,37.0,93.0,77.647,0.0,71.053,74.0,15.338,-0.426,-0.706
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),float64,6,249,6,0,70.0,100.0,97.647,0.0,84.5,85.5,11.167,-0.97,-0.01
Aquaculture production (metric tons),float64,141,114,130,6,0.0,2427676.98,44.706,1.961,115011.527,4859.01,348129.757,21.298,4.464
Arable land (% of land area),float64,151,104,114,37,0.051,59.0,40.784,0.0,13.101,8.89,13.381,0.695,1.137
Arable land (hectares per person),float64,77,178,77,0,0.0,1.217,69.804,0.0,0.18,0.072,0.253,4.441,2.076
Arable land (hectares),float64,77,178,71,5,70.0,157736800.0,69.804,0.0,6098777.855,377000.0,23010992.534,32.862,5.62
Arms exports (SIPRI trend indicator values),float64,101,154,79,15,0.0,15592000000.0,60.392,0.392,788831683.168,71000000.0,2251284295.993,26.492,4.949
Arms imports (SIPRI trend indicator values),float64,139,116,112,20,0.0,3384000000.0,45.49,1.569,361856115.108,158000000.0,562365520.944,10.477,2.922
"Automated teller machines (ATMs) (per 100,000 adults)",float64,52,203,52,0,20.59,316.31,79.608,0.0,85.335,65.435,58.162,5.746,2.184
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),float64,255,0,3,3,0.0,1.0,0.0,47.059,0.518,1.0,0.495,-1.986,-0.071
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",float64,255,0,2,2,0.0,1.0,0.0,30.588,0.694,1.0,0.462,-1.292,-0.848
Average precipitation in depth (mm per year),float64,58,197,58,0,59.0,2928.0,77.255,0.0,1026.293,828.0,688.793,0.486,0.974
Average time to clear exports through customs (days),float64,17,238,14,3,1.1,25.0,93.333,0.0,5.818,3.7,5.93,6.688,2.442
Average transaction cost of sending remittances from a specific country (%),float64,85,170,85,0,0.477,15.515,66.667,0.0,3.678,3.276,2.36,13.306,3.259
Average transaction cost of sending remittances to a specific country (%),float64,26,229,26,0,0.266,8.132,89.804,0.0,2.713,1.962,2.19,1.709,1.593
Bank capital to assets ratio (%),float64,102,153,102,0,2.843,14.733,60.0,0.0,7.901,7.341,2.437,0.035,0.646
Bank liquid reserves to bank assets ratio (%),float64,97,158,97,0,0.334,52.722,61.961,0.0,16.809,15.51,11.908,0.239,0.884
Bank nonperforming loans to total gross loans (%),float64,103,152,103,0,0.233,58.962,59.608,0.0,3.925,1.99,7.964,36.034,5.756
Battle-related deaths (number of people),float64,9,246,9,0,2.0,22675.0,96.471,0.0,2590.0,65.0,7532.474,8.996,2.999
"Binding coverage, all products (%)",float64,109,146,21,5,0.0,100.0,57.255,19.216,52.815,93.93,48.813,-1.982,-0.136
"Binding coverage, manufactured products (%)",float64,109,146,14,4,0.0,100.0,57.255,19.216,52.682,94.74,48.989,-1.988,-0.122
"Binding coverage, primary products (%)",float64,109,146,20,6,0.0,100.0,57.255,19.216,53.199,85.61,48.691,-1.976,-0.167
"Birth rate, crude (per 1,000 people)",float64,164,91,122,25,4.4,27.56,35.686,0.0,10.711,10.1,3.525,5.322,1.78
Births attended by skilled health staff (% of total),float64,10,245,7,2,94.5,100.0,96.078,0.0,98.96,99.6,1.663,7.06,-2.608
"Borrowers from commercial banks (per 1,000 adults)",float64,62,193,62,0,149.035,732.377,75.686,0.0,407.482,413.142,139.711,-0.382,0.308
"Bound rate, simple mean, all products (%)",float64,60,195,28,7,0.0,98.32,76.471,1.176,18.038,4.39,24.621,3.151,1.984
"Bound rate, simple mean, manufactured products (%)",float64,60,195,28,7,0.0,97.73,76.471,1.176,16.67,4.0,23.5,3.95,2.12
"Bound rate, simple mean, primary products (%)",float64,60,195,27,8,0.0,100.0,76.471,1.176,22.174,5.75,29.129,1.581,1.689
Bribery incidence (% of firms experiencing at least one bribe payment request),float64,18,237,17,1,0.0,7.7,92.941,0.784,3.0,2.4,2.421,-0.656,0.681
Broad money (% of GDP),float64,95,160,95,0,27.56,461.607,62.745,0.0,112.095,85.75,83.307,7.884,2.74
Broad money (current LCU),float64,95,160,95,0,3017108701.43,3904552627000000.0,62.745,0.0,180091513727976.62,1563025000000.0,708106351432777.1,19.787,4.467
Broad money growth (annual %),float64,95,160,95,0,-5.093,22.086,62.745,0.0,6.221,4.814,5.557,0.137,0.734
Broad money to total reserves ratio,float64,95,160,95,0,1.491,40.069,62.745,0.0,7.037,3.351,9.441,5.242,2.523
Business process,float64,183,72,2,2,0.0,1.0,28.235,23.137,0.678,1.0,0.469,-1.429,-0.766
Business/establishment census (Availability score over 20 years),float64,180,75,2,2,0.0,1.0,29.412,7.059,0.9,1.0,0.301,5.29,-2.689
Business/establishment survey (Availability score over 10 years),float64,180,75,3,3,0.0,1.0,29.412,15.294,0.761,1.0,0.419,-0.476,-1.216
CPI base year,float64,189,66,3,3,0.0,1.0,25.882,10.98,0.667,0.5,0.361,-0.879,-0.6
CPIA building human resources rating (1=low to 6=high),float64,3,252,2,1,4.0,4.5,98.824,0.0,4.167,4.0,0.289,.,1.732
CPIA business regulatory environment rating (1=low to 6=high),float64,3,252,1,1,2.5,2.5,98.824,0.0,2.5,2.5,0.0,.,0
CPIA debt policy rating (1=low to 6=high),float64,3,252,1,1,3.5,3.5,98.824,0.0,3.5,3.5,0.0,.,0
CPIA economic management cluster average (1=low to 6=high),float64,3,252,1,1,3.5,3.5,98.824,0.0,3.5,3.5,0.0,.,0
CPIA efficiency of revenue mobilization rating (1=low to 6=high),float64,3,252,1,1,3.5,3.5,98.824,0.0,3.5,3.5,0.0,.,0
CPIA equity of public resource use rating (1=low to 6=high),float64,3,252,1,1,3.0,3.0,98.824,0.0,3.0,3.0,0.0,.,0
CPIA financial sector rating (1=low to 6=high),float64,3,252,1,1,3.5,3.5,98.824,0.0,3.5,3.5,0.0,.,0
CPIA fiscal policy rating (1=low to 6=high),float64,3,252,1,1,3.5,3.5,98.824,0.0,3.5,3.5,0.0,.,0
CPIA gender equality rating (1=low to 6=high),float64,3,252,1,1,3.0,3.0,98.824,0.0,3.0,3.0,0.0,.,0
CPIA macroeconomic management rating (1=low to 6=high),float64,3,252,1,1,3.5,3.5,98.824,0.0,3.5,3.5,0.0,.,0
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),float64,3,252,2,1,3.2,3.3,98.824,0.0,3.233,3.2,0.058,.,1.732
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),float64,3,252,1,1,3.0,3.0,98.824,0.0,3.0,3.0,0.0,.,0
CPIA property rights and rule-based governance rating (1=low to 6=high),float64,3,252,1,1,3.0,3.0,98.824,0.0,3.0,3.0,0.0,.,0
CPIA public sector management and institutions cluster average (1=low to 6=high),float64,3,252,1,1,3.2,3.2,98.824,0.0,3.2,3.2,0.0,.,0
CPIA quality of budgetary and financial management rating (1=low to 6=high),float64,3,252,1,1,3.5,3.5,98.824,0.0,3.5,3.5,0.0,.,0
CPIA quality of public administration rating (1=low to 6=high),float64,3,252,1,1,3.0,3.0,98.824,0.0,3.0,3.0,0.0,.,0
CPIA social protection rating (1=low to 6=high),float64,3,252,1,1,3.0,3.0,98.824,0.0,3.0,3.0,0.0,.,0
CPIA structural policies cluster average (1=low to 6=high),float64,3,252,1,1,3.167,3.167,98.824,0.0,3.167,3.167,0.0,.,0
CPIA trade rating (1=low to 6=high),float64,3,252,1,1,3.5,3.5,98.824,0.0,3.5,3.5,0.0,.,0
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",float64,3,252,1,1,3.0,3.0,98.824,0.0,3.0,3.0,0.0,.,0
CRVS (WDI),float64,255,0,2,2,0.5,1.0,0.0,0.0,0.988,1.0,0.076,38.294,-6.324
Capture fisheries production (metric tons),float64,163,92,149,6,0.0,5167703.0,36.078,3.137,336742.017,16060.0,888861.416,14.654,3.776
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),float64,222,33,213,3,-71.035,52827.273,12.941,2.353,794.09,23.213,5968.316,70.554,8.47
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),float64,228,27,215,5,0.0,4786.631,10.588,2.353,183.684,30.832,599.941,43.438,6.267
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),float64,228,27,223,1,0.0,81.209,10.588,2.353,8.977,5.407,10.904,21.429,4.059
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),float64,129,126,112,10,0.0,6.359,49.412,1.176,0.789,0.172,1.441,6.983,2.713
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),float64,207,48,206,1,0.006,594.953,18.824,0.0,25.206,1.522,78.89,35.955,5.671
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),float64,204,51,161,4,0.0,299.42,20.0,15.686,16.314,2.563,46.611,22.153,4.607
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),float64,207,48,206,1,0.005,451.437,18.824,0.0,25.223,4.01,67.839,24.083,4.712
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),float64,228,27,185,12,0.0,163.513,10.588,2.353,11.106,1.951,25.866,17.13,3.938
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),float64,210,45,210,0,0.003,1627.204,17.647,0.0,67.962,6.214,217.717,32.422,5.443
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),float64,210,45,210,0,0.024,1710.645,17.647,0.0,53.184,8.268,204.234,58.164,7.495
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),float64,141,114,86,22,0.0,4.176,44.706,5.882,0.271,0.003,0.83,11.638,3.515
Carbon intensity of GDP (kg CO2e per 2021 PPP $),float64,204,51,202,1,0.0,5.141,20.0,1.176,0.231,0.121,0.597,59.314,7.628
Carbon intensity of GDP (kg CO2e per constant 2021 US$ of GDP),float64,212,43,208,1,0.0,6.56,16.863,1.961,0.373,0.174,0.779,49.173,6.663
Central government accounting status,float64,189,66,3,3,0.0,1.0,25.882,15.294,0.735,1.0,0.408,-0.646,-1.064
"Central government debt, total (% of GDP)",float64,57,198,57,0,17.803,233.537,77.647,0.0,85.285,77.515,51.54,1.219,1.163
"Central government debt, total (current LCU)",float64,57,198,57,0,1492173904.0,1210168100000000.0,77.647,0.0,84653666328040.94,875659916197.36,291406158033366.9,10.557,3.477
Cereal production (metric tons),float64,112,143,111,1,0.0,451637220.61,56.078,0.784,18106303.508,2469130.0,60407061.046,39.478,6.06
Cereal yield (kg per hectare),float64,110,145,110,0,1589.6,24800.9,56.863,0.0,6008.721,5471.0,3871.062,9.884,2.771
Changes in inventories (constant LCU),float64,53,202,52,1,-36561000000.0,14028000000000.0,79.216,0.0,735495302153.666,228440000.0,2861354748884.142,16.022,4.094
Changes in inventories (current LCU),float64,161,94,161,0,-2480663340200.0,21877500000000.0,36.863,0.0,397653886902.661,3019019900.0,2202054178406.653,66.082,7.635
Changes in inventories (current US$),float64,161,94,161,0,-14020297800.923,149647000000.0,36.863,0.0,8076717489.475,1536290052.162,17799765476.67,26.667,4.304
"Charges for the use of intellectual property, payments (BoP, current US$)",float64,170,85,170,0,429346.901,153215662951.598,33.333,0.0,8398492746.816,1016197156.552,21300888372.813,28.045,4.92
"Charges for the use of intellectual property, receipts (BoP, current US$)",float64,149,106,149,0,15000.0,137833000000.0,41.569,0.0,9409594491.329,833842177.809,22665944876.415,17.691,3.949
Chemicals (% of value added in manufacturing),float64,52,203,52,0,0.063,29.148,79.608,0.0,6.629,4.539,6.827,3.805,2.037
Children (0-14) living with HIV,float64,12,243,2,2,100.0,500.0,95.294,0.0,433.333,500.0,155.7,2.64,-2.055
Children (ages 0-14) newly infected with HIV,float64,12,243,1,1,100.0,100.0,95.294,0.0,100.0,100.0,0.0,0,0
Children out of school (% of primary school age),float64,133,122,133,0,0.002,33.89,47.843,0.0,4.29,1.976,5.629,7.796,2.453
"Children out of school, female (% of female primary school age)",float64,105,150,105,0,0.068,33.198,58.824,0.0,5.156,2.98,6.169,5.818,2.255
"Children out of school, male (% of male primary school age)",float64,105,150,105,0,0.029,34.557,58.824,0.0,5.081,3.379,5.878,7.752,2.448
"Children out of school, primary",float64,134,121,133,1,13.0,996160.0,47.451,0.0,33381.803,3409.5,125318.684,48.956,6.794
"Children out of school, primary, female",float64,106,149,104,2,4.0,495363.0,58.431,0.0,19402.991,2590.0,66463.368,41.12,6.264
"Children out of school, primary, male",float64,106,149,105,1,17.0,517634.0,58.431,0.0,22389.877,3239.0,73671.638,36.045,5.832
Claims on central government (annual growth as % of broad money),float64,97,158,97,0,-8.743,13.13,61.961,0.0,0.943,0.407,3.977,1.81,0.695
"Claims on central government, etc. (% GDP)",float64,159,96,159,0,-153.391,151.966,37.647,0.0,12.273,13.255,32.179,11.518,-0.188
Claims on other sectors of the domestic economy (% of GDP),float64,26,229,26,0,20.221,239.286,89.804,0.0,115.573,111.703,76.027,-1.228,0.268
Claims on other sectors of the domestic economy (annual growth as % of broad money),float64,88,167,88,0,-16.24,43.21,65.49,0.0,5.734,4.652,7.833,9.26,2.002
Claims on private sector (annual growth as % of broad money),float64,94,161,94,0,-5.317,17.943,63.137,0.0,4.341,3.701,4.086,0.715,0.692
Classification of household consumption,float64,189,66,2,2,0.0,1.0,25.882,5.49,0.926,1.0,0.263,8.844,-3.279
Classification of national industry,float64,183,72,3,3,0.0,1.0,28.235,2.353,0.874,1.0,0.253,2.825,-1.9
Classification of status of employment,float64,183,72,2,2,0.0,1.0,28.235,5.49,0.923,1.0,0.267,8.415,-3.213
Coal rents (% of GDP),float64,68,187,20,1,0.0,0.786,73.333,19.216,0.033,0.0,0.125,26.459,5.032
"Commercial bank branches (per 100,000 adults)",float64,167,88,167,0,4.585,122.766,34.51,0.0,22.071,17.701,18.785,14.366,3.343
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",float64,3,252,3,0,22405000.0,666531000.0,98.824,0.0,252443333.333,68394000.0,359346898.963,.,1.7
Commercial service exports (current US$),float64,190,65,190,0,6418000.0,993825000000.0,25.49,0.0,88035806011.6,25532178285.17,152928731716.7,12.821,3.232
Commercial service imports (current US$),float64,190,65,190,0,39944000.0,722677000000.0,25.49,0.0,77246539313.782,23350969034.495,124507805496.992,8.059,2.644
"Communications, computer, etc. (% of service exports, BoP)",float64,189,66,189,0,1.367,95.928,25.882,0.0,42.859,45.093,21.698,-0.54,0.018
"Communications, computer, etc. (% of service imports, BoP)",float64,190,65,190,0,7.692,86.372,25.49,0.0,48.376,49.715,15.8,0.168,-0.266
Compensation of employees (% of expense),float64,95,160,95,0,4.843,53.782,62.745,0.0,16.786,15.81,8.849,3.742,1.39
Compensation of employees (current LCU),float64,95,160,95,0,167243392.0,57645632680232.7,62.745,0.0,1757657930484.312,27900000000.0,8356335658721.736,39.679,6.248
Compilation of government finance statistics,float64,183,72,3,3,0.0,1.0,28.235,10.588,0.792,1.0,0.368,0.383,-1.428
Compilation of monetary and financial statistics,float64,189,66,2,2,0.0,1.0,25.882,9.02,0.878,1.0,0.328,3.479,-2.333
Completeness of birth registration (%),float64,34,221,1,1,100.0,100.0,86.667,0.0,100.0,100.0,0.0,0,0
"Compulsory education, duration (years)",float64,228,27,11,11,0.0,15.0,10.588,2.353,10.605,11.0,2.486,6.822,-1.99
"Computer, communications and other services (% of commercial service exports)",float64,190,65,190,0,0.904,89.481,25.49,0.0,41.635,44.499,22.431,-0.749,-0.063
"Computer, communications and other services (% of commercial service imports)",float64,190,65,190,0,0.421,87.759,25.49,0.0,47.703,49.375,16.543,0.469,-0.341
Consumer price index (2010 = 100),float64,177,78,177,0,99.399,277.191,30.588,0.0,131.994,126.347,23.588,14.326,3.029
Container port traffic (TEU: 20 foot equivalent units),float64,94,161,94,0,40829.0,62214119.0,63.137,0.0,7702451.17,3075957.5,11522908.64,9.849,2.841
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",float64,186,69,186,0,0.003,10.315,27.059,0.0,1.207,0.591,1.835,9.4,2.988
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",float64,186,69,186,0,0.002,6.236,27.059,0.0,0.697,0.34,1.055,12.313,3.336
