Column,missing_count,missing_percent,Source Table
General government final consumption expenditure (constant 2015 US$),399,13.825363825363826,WDIEconomicIndicator
General government final consumption expenditure (annual % growth),396,13.721413721413722,WDIEconomicIndicator
Final consumption expenditure (constant 2015 US$),357,12.37006237006237,WDIEconomicIndicator
Final consumption expenditure (annual % growth),349,12.092862092862093,WDIEconomicIndicator
General government final consumption expenditure (% of GDP),246,8.523908523908524,WDIEconomicIndicator
General government final consumption expenditure (current US$),246,8.523908523908524,WDIEconomicIndicator
Final consumption expenditure (current US$),230,7.969507969507969,WDIEconomicIndicator
Exports of goods and services (% of GDP),217,7.519057519057519,WDIEconomicIndicator
External balance on goods and services (% of GDP),217,7.519057519057519,WDIEconomicIndicator
"Communications, computer, etc. (% of service imports, BoP)",119,4.123354123354123,WDIEconomicIndicator
"Communications, computer, etc. (% of service exports, BoP)",114,3.9501039501039505,WDIEconomicIndicator
"Exports of goods, services and primary income (BoP, current US$)",74,2.564102564102564,WDIEconomicIndicator
"Goods exports (BoP, current US$)",72,2.494802494802495,WDIEconomicIndicator
"Goods imports (BoP, current US$)",72,2.494802494802495,WDIEconomicIndicator
Adjusted net national income (current US$),49,1.6978516978516978,WDIEconomicIndicator
Adjusted net national income per capita (current US$),49,1.6978516978516978,WDIEconomicIndicator
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",41,1.4206514206514207,WDIEconomicIndicator
Adjusted savings: education expenditure (% of GNI),29,1.0048510048510049,WDIEconomicIndicator
"GDP per capita, PPP (constant 2021 international $)",21,0.7276507276507277,WDIEconomicIndicator
"GDP, PPP (constant 2021 international $)",21,0.7276507276507277,WDIEconomicIndicator
"GNI per capita, PPP (current international $)",15,0.5197505197505198,WDIEconomicIndicator
"GNI, PPP (current international $)",15,0.5197505197505198,WDIEconomicIndicator
Adjusted savings: energy depletion (% of GNI),13,0.45045045045045046,WDIEconomicIndicator
"Agriculture, forestry, and fishing, value added (% of GDP)",12,0.4158004158004158,WDIEconomicIndicator
"GDP per capita, PPP (current international $)",12,0.4158004158004158,WDIEconomicIndicator
"GDP, PPP (current international $)",12,0.4158004158004158,WDIEconomicIndicator
GDP (constant 2015 US$),9,0.31185031185031187,WDIEconomicIndicator
GDP per capita (constant 2015 US$),9,0.31185031185031187,WDIEconomicIndicator
"GNI per capita, Atlas method (current US$)",5,0.17325017325017325,WDIEconomicIndicator
"GNI, Atlas method (current US$)",5,0.17325017325017325,WDIEconomicIndicator
Adjusted savings: carbon dioxide damage (% of GNI),4,0.1386001386001386,WDIEconomicIndicator
GNI (current US$),3,0.10395010395010396,WDIEconomicIndicator
GDP growth (annual %),1,0.03465003465003465,WDIEconomicIndicator
GDP per capita growth (annual %),1,0.03465003465003465,WDIEconomicIndicator
GDP (current US$),0,0.0,WDIEconomicIndicator
GDP per capita (current US$),0,0.0,WDIEconomicIndicator
"School enrollment, primary, private (% of total primary)",585,20.27027027027027,WDIEducationIndicator
"Preprimary education, duration (years)",410,14.206514206514207,WDIEducationIndicator
"School enrollment, primary, female (% gross)",340,11.781011781011781,WDIEducationIndicator
"School enrollment, primary, male (% gross)",340,11.781011781011781,WDIEducationIndicator
"School enrollment, primary (% gross)",335,11.607761607761608,WDIEducationIndicator
"Primary education, pupils",281,9.736659736659735,WDIEducationIndicator
"Compulsory education, duration (years)",216,7.484407484407485,WDIEducationIndicator
Lower secondary school starting age (years),2,0.0693000693000693,WDIEducationIndicator
"Secondary education, duration (years)",2,0.0693000693000693,WDIEducationIndicator
"Primary education, duration (years)",0,0.0,WDIEducationIndicator
Primary school starting age (years),0,0.0,WDIEducationIndicator
Fluorinated greenhouse gases (F-gases) emissions from Industrial Processes (Mt CO2e),419,14.518364518364518,WDIEnvironmentIndicator
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),244,8.454608454608454,WDIEnvironmentIndicator
Total greenhouse gas emissions including LULUCF (Mt CO2e),243,8.419958419958421,WDIEnvironmentIndicator
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),218,7.553707553707553,WDIEnvironmentIndicator
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),218,7.553707553707553,WDIEnvironmentIndicator
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),218,7.553707553707553,WDIEnvironmentIndicator
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),202,6.999306999307,WDIEnvironmentIndicator
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",135,4.677754677754678,WDIEnvironmentIndicator
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",112,3.8808038808038807,WDIEnvironmentIndicator
Aquaculture production (metric tons),104,3.6036036036036037,WDIEnvironmentIndicator
Total fisheries production (metric tons),104,3.6036036036036037,WDIEnvironmentIndicator
Cereal yield (kg per hectare),98,3.3957033957033955,WDIEnvironmentIndicator
Cereal production (metric tons),94,3.2571032571032568,WDIEnvironmentIndicator
Land under cereal production (hectares),94,3.2571032571032568,WDIEnvironmentIndicator
"Access to electricity, rural (% of rural population)",92,3.187803187803188,WDIEnvironmentIndicator
Fertilizer consumption (kilograms per hectare of arable land),84,2.9106029106029108,WDIEnvironmentIndicator
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),79,2.7373527373527375,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),61,2.1136521136521136,WDIEnvironmentIndicator
Renewable internal freshwater resources per capita (cubic meters),52,1.8018018018018018,WDIEnvironmentIndicator
"Renewable internal freshwater resources, total (billion cubic meters)",52,1.8018018018018018,WDIEnvironmentIndicator
Access to clean fuels and technologies for cooking  (% of population),48,1.6632016632016633,WDIEnvironmentIndicator
"Access to clean fuels and technologies for cooking, rural (% of rural population)",48,1.6632016632016633,WDIEnvironmentIndicator
"Access to clean fuels and technologies for cooking, urban (% of urban population)",48,1.6632016632016633,WDIEnvironmentIndicator
Carbon intensity of GDP (kg CO2e per 2021 PPP $),46,1.593901593901594,WDIEnvironmentIndicator
Carbon intensity of GDP (kg CO2e per constant 2021 US$ of GDP),34,1.178101178101178,WDIEnvironmentIndicator
Rural population growth (annual %),34,1.178101178101178,WDIEnvironmentIndicator
Natural gas rents (% of GDP),29,1.0048510048510049,WDIEnvironmentIndicator
Permanent cropland (% of land area),26,0.9009009009009009,WDIEnvironmentIndicator
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),25,0.8662508662508662,WDIEnvironmentIndicator
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),25,0.8662508662508662,WDIEnvironmentIndicator
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),25,0.8662508662508662,WDIEnvironmentIndicator
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Methane (CH4) emissions from Agriculture (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Methane (CH4) emissions from Building (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Methane (CH4) emissions from Waste (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),25,0.8662508662508662,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Total greenhouse gas emissions excluding LULUCF (% change from 1990),25,0.8662508662508662,WDIEnvironmentIndicator
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),25,0.8662508662508662,WDIEnvironmentIndicator
Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),25,0.8662508662508662,WDIEnvironmentIndicator
Oil rents (% of GDP),20,0.693000693000693,WDIEnvironmentIndicator
Coal rents (% of GDP),17,0.589050589050589,WDIEnvironmentIndicator
Total natural resources rents (% of GDP),9,0.31185031185031187,WDIEnvironmentIndicator
Agricultural land (% of land area),8,0.2772002772002772,WDIEnvironmentIndicator
Arable land (% of land area),8,0.2772002772002772,WDIEnvironmentIndicator
Crop production index (2014-2016 = 100),8,0.2772002772002772,WDIEnvironmentIndicator
Food production index (2014-2016 = 100),8,0.2772002772002772,WDIEnvironmentIndicator
Forest area (% of land area),8,0.2772002772002772,WDIEnvironmentIndicator
Forest area (sq. km),8,0.2772002772002772,WDIEnvironmentIndicator
Land area (sq. km),8,0.2772002772002772,WDIEnvironmentIndicator
Livestock production index (2014-2016 = 100),8,0.2772002772002772,WDIEnvironmentIndicator
Population density (people per sq. km of land area),8,0.2772002772002772,WDIEnvironmentIndicator
Energy intensity level of primary energy (MJ/$2017 PPP GDP),7,0.24255024255024255,WDIEnvironmentIndicator
Access to electricity (% of population),0,0.0,WDIEnvironmentIndicator
"Access to electricity, urban (% of urban population)",0,0.0,WDIEnvironmentIndicator
Arable land (hectares per person),0,0.0,WDIEnvironmentIndicator
Capture fisheries production (metric tons),0,0.0,WDIEnvironmentIndicator
Forest rents (% of GDP),0,0.0,WDIEnvironmentIndicator
Mineral rents (% of GDP),0,0.0,WDIEnvironmentIndicator
Renewable energy consumption (% of total final energy consumption),0,0.0,WDIEnvironmentIndicator
Rural population,0,0.0,WDIEnvironmentIndicator
Rural population (% of total population),0,0.0,WDIEnvironmentIndicator
Surface area (sq. km),0,0.0,WDIEnvironmentIndicator
Urban population,0,0.0,WDIEnvironmentIndicator
Urban population (% of total population),0,0.0,WDIEnvironmentIndicator
Urban population growth (annual %),0,0.0,WDIEnvironmentIndicator
Broad money (% of GDP),462,16.008316008316008,WDIFinancialSectorIndicator
"Automated teller machines (ATMs) (per 100,000 adults)",298,10.325710325710325,WDIFinancialSectorIndicator
Domestic credit to private sector (% of GDP),264,9.147609147609149,WDIFinancialSectorIndicator
"Commercial bank branches (per 100,000 adults)",110,3.8115038115038113,WDIFinancialSectorIndicator
"Claims on central government, etc. (% GDP)",101,3.4996534996535,WDIFinancialSectorIndicator
Monetary Sector credit to private sector (% GDP),101,3.4996534996535,WDIFinancialSectorIndicator
Domestic credit to private sector by banks (% of GDP),100,3.465003465003465,WDIFinancialSectorIndicator
"Inflation, consumer prices (annual %)",66,2.2869022869022873,WDIFinancialSectorIndicator
"Official exchange rate (LCU per US$, period average)",19,0.6583506583506583,WDIFinancialSectorIndicator
"Inflation, GDP deflator (annual %)",1,0.03465003465003465,WDIFinancialSectorIndicator
"Inflation, GDP deflator: linked series (annual %)",1,0.03465003465003465,WDIFinancialSectorIndicator
GDP deflator (base year varies by country),0,0.0,WDIFinancialSectorIndicator
GDP deflator: linked series (base year varies by country),0,0.0,WDIFinancialSectorIndicator
Proportion of seats held by women in national parliaments (%),55,1.9057519057519057,WDIGenderIndicator
Women Business and the Law Index Score (scale 1-100),0,0.0,WDIGenderIndicator
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",461,15.973665973665973,WDIHealthIndicator
"Prevalence of overweight (modeled estimate, % of children under 5)",443,15.34996534996535,WDIHealthIndicator
Prevalence of anemia among children (% of children ages 6-59 months),304,10.533610533610533,WDIHealthIndicator
Prevalence of anemia among non-pregnant women (% of women ages 15-49),304,10.533610533610533,WDIHealthIndicator
Prevalence of anemia among pregnant women (%),304,10.533610533610533,WDIHealthIndicator
Prevalence of anemia among women of reproductive age (% of women ages 15-49),304,10.533610533610533,WDIHealthIndicator
"People practicing open defecation, rural (% of rural population)",268,9.286209286209287,WDIHealthIndicator
"People using at least basic drinking water services, rural (% of rural population)",262,9.07830907830908,WDIHealthIndicator
"People using at least basic sanitation services, rural (% of rural population)",254,8.8011088011088,WDIHealthIndicator
"Immunization, HepB3 (% of one-year-old children)",230,7.969507969507969,WDIHealthIndicator
"People using at least basic drinking water services, urban (% of urban population)",218,7.553707553707553,WDIHealthIndicator
"People practicing open defecation, urban (% of urban population)",208,7.207207207207207,WDIHealthIndicator
"People using at least basic sanitation services, urban (% of urban population)",207,7.172557172557173,WDIHealthIndicator
Prevalence of undernourishment (% of population),187,6.4795564795564795,WDIHealthIndicator
Tuberculosis treatment success rate (% of new cases),160,5.544005544005544,WDIHealthIndicator
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",131,4.53915453915454,WDIHealthIndicator
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",131,4.53915453915454,WDIHealthIndicator
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",131,4.53915453915454,WDIHealthIndicator
Lifetime risk of maternal death (%),112,3.8808038808038807,WDIHealthIndicator
Lifetime risk of maternal death (1 in: rate varies by country),112,3.8808038808038807,WDIHealthIndicator
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",112,3.8808038808038807,WDIHealthIndicator
Number of maternal deaths,112,3.8808038808038807,WDIHealthIndicator
People using at least basic drinking water services (% of population),37,1.282051282051282,WDIHealthIndicator
People practicing open defecation (% of population),36,1.2474012474012475,WDIHealthIndicator
"Mortality rate, adult, female (per 1,000 female adults)",33,1.1434511434511436,WDIHealthIndicator
"Mortality rate, adult, male (per 1,000 male adults)",33,1.1434511434511436,WDIHealthIndicator
"Tuberculosis case detection rate (%, all forms)",21,0.7276507276507277,WDIHealthIndicator
Out-of-pocket expenditure (% of current health expenditure),19,0.6583506583506583,WDIHealthIndicator
Out-of-pocket expenditure per capita (current US$),19,0.6583506583506583,WDIHealthIndicator
Current health expenditure (% of GDP),18,0.6237006237006237,WDIHealthIndicator
Current health expenditure per capita (current US$),18,0.6237006237006237,WDIHealthIndicator
"Current health expenditure per capita, PPP (current international $)",18,0.6237006237006237,WDIHealthIndicator
Domestic general government health expenditure (% of GDP),18,0.6237006237006237,WDIHealthIndicator
Domestic general government health expenditure (% of current health expenditure),18,0.6237006237006237,WDIHealthIndicator
Domestic general government health expenditure per capita (current US$),18,0.6237006237006237,WDIHealthIndicator
"Domestic general government health expenditure per capita, PPP (current international $)",18,0.6237006237006237,WDIHealthIndicator
Domestic private health expenditure (% of current health expenditure),18,0.6237006237006237,WDIHealthIndicator
Domestic private health expenditure per capita (current US$),18,0.6237006237006237,WDIHealthIndicator
"Domestic private health expenditure per capita, PPP (current international $)",18,0.6237006237006237,WDIHealthIndicator
"Out-of-pocket expenditure per capita, PPP (current international $)",18,0.6237006237006237,WDIHealthIndicator
People using at least basic sanitation services (% of population),18,0.6237006237006237,WDIHealthIndicator
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0,0.0,WDIHealthIndicator
Age dependency ratio (% of working-age population),0,0.0,WDIHealthIndicator
"Age dependency ratio, old (% of working-age population)",0,0.0,WDIHealthIndicator
"Age dependency ratio, young (% of working-age population)",0,0.0,WDIHealthIndicator
"Birth rate, crude (per 1,000 people)",0,0.0,WDIHealthIndicator
"Death rate, crude (per 1,000 people)",0,0.0,WDIHealthIndicator
"Fertility rate, total (births per woman)",0,0.0,WDIHealthIndicator
"Immunization, DPT (% of children ages 12-23 months)",0,0.0,WDIHealthIndicator
"Immunization, measles (% of children ages 12-23 months)",0,0.0,WDIHealthIndicator
"Incidence of tuberculosis (per 100,000 people)",0,0.0,WDIHealthIndicator
"Life expectancy at birth, female (years)",0,0.0,WDIHealthIndicator
"Life expectancy at birth, male (years)",0,0.0,WDIHealthIndicator
"Life expectancy at birth, total (years)",0,0.0,WDIHealthIndicator
"Mortality rate, infant (per 1,000 live births)",0,0.0,WDIHealthIndicator
"Mortality rate, infant, female (per 1,000 live births)",0,0.0,WDIHealthIndicator
"Mortality rate, infant, male (per 1,000 live births)",0,0.0,WDIHealthIndicator
"Mortality rate, neonatal (per 1,000 live births)",0,0.0,WDIHealthIndicator
"Mortality rate, under-5 (per 1,000 live births)",0,0.0,WDIHealthIndicator
"Mortality rate, under-5, female (per 1,000 live births)",0,0.0,WDIHealthIndicator
"Mortality rate, under-5, male (per 1,000 live births)",0,0.0,WDIHealthIndicator
Number of deaths ages 10-14 years,0,0.0,WDIHealthIndicator
Number of deaths ages 15-19 years,0,0.0,WDIHealthIndicator
Number of deaths ages 20-24 years,0,0.0,WDIHealthIndicator
Number of deaths ages 5-9 years,0,0.0,WDIHealthIndicator
Number of infant deaths,0,0.0,WDIHealthIndicator
Number of neonatal deaths,0,0.0,WDIHealthIndicator
Number of under-five deaths,0,0.0,WDIHealthIndicator
Population ages 0-14 (% of total population),0,0.0,WDIHealthIndicator
"Population ages 0-14, female",0,0.0,WDIHealthIndicator
"Population ages 0-14, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 0-14, male",0,0.0,WDIHealthIndicator
"Population ages 0-14, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 0-14, total",0,0.0,WDIHealthIndicator
"Population ages 00-04, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 00-04, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 05-09, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 05-09, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 10-14, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 10-14, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 15-19, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 15-19, male (% of male population)",0,0.0,WDIHealthIndicator
Population ages 15-64 (% of total population),0,0.0,WDIHealthIndicator
"Population ages 20-24, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 20-24, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 25-29, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 25-29, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 30-34, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 30-34, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 35-39, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 35-39, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 40-44, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 40-44, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 45-49, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 45-49, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 50-54, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 50-54, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 55-59, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 55-59, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 60-64, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 60-64, male (% of male population)",0,0.0,WDIHealthIndicator
Population ages 65 and above (% of total population),0,0.0,WDIHealthIndicator
"Population ages 65 and above, female",0,0.0,WDIHealthIndicator
"Population ages 65 and above, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 65 and above, male",0,0.0,WDIHealthIndicator
"Population ages 65 and above, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 65 and above, total",0,0.0,WDIHealthIndicator
"Population ages 65-69, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 65-69, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 70-74, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 70-74, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 75-79, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 75-79, male (% of male population)",0,0.0,WDIHealthIndicator
"Population ages 80 and above, female (% of female population)",0,0.0,WDIHealthIndicator
"Population ages 80 and above, male (% of male population)",0,0.0,WDIHealthIndicator
Population growth (annual %),0,0.0,WDIHealthIndicator
"Population, female",0,0.0,WDIHealthIndicator
"Population, female (% of total population)",0,0.0,WDIHealthIndicator
"Population, male",0,0.0,WDIHealthIndicator
"Population, male (% of total population)",0,0.0,WDIHealthIndicator
"Population, total",0,0.0,WDIHealthIndicator
"Probability of dying among adolescents ages 10-14 years (per 1,000)",0,0.0,WDIHealthIndicator
"Probability of dying among adolescents ages 15-19 years (per 1,000)",0,0.0,WDIHealthIndicator
"Probability of dying among children ages 5-9 years (per 1,000)",0,0.0,WDIHealthIndicator
"Probability of dying among youth ages 20-24 years (per 1,000)",0,0.0,WDIHealthIndicator
Sex ratio at birth (male births per female births),0,0.0,WDIHealthIndicator
"Survival to age 65, female (% of cohort)",0,0.0,WDIHealthIndicator
"Survival to age 65, male (% of cohort)",0,0.0,WDIHealthIndicator
"International tourism, number of arrivals",370,12.82051282051282,WDIPrivateSectorIndicator
Fuel exports (% of merchandise exports),299,10.36036036036036,WDIPrivateSectorIndicator
Insurance and financial services (% of commercial service exports),254,8.8011088011088,WDIPrivateSectorIndicator
Agricultural raw materials exports (% of merchandise exports),247,8.558558558558559,WDIPrivateSectorIndicator
Agricultural raw materials imports (% of merchandise imports),246,8.523908523908524,WDIPrivateSectorIndicator
Ores and metals exports (% of merchandise exports),244,8.454608454608454,WDIPrivateSectorIndicator
Manufactures exports (% of merchandise exports),242,8.385308385308385,WDIPrivateSectorIndicator
Ores and metals imports (% of merchandise imports),241,8.350658350658351,WDIPrivateSectorIndicator
Fuel imports (% of merchandise imports),239,8.281358281358282,WDIPrivateSectorIndicator
Food imports (% of merchandise imports),238,8.246708246708247,WDIPrivateSectorIndicator
Manufactures imports (% of merchandise imports),238,8.246708246708247,WDIPrivateSectorIndicator
Food exports (% of merchandise exports),230,7.969507969507969,WDIPrivateSectorIndicator
"International tourism, expenditures for travel items (current US$)",210,7.276507276507277,WDIPrivateSectorIndicator
"International tourism, receipts for travel items (current US$)",210,7.276507276507277,WDIPrivateSectorIndicator
Transport services (% of commercial service exports),137,4.747054747054747,WDIPrivateSectorIndicator
Insurance and financial services (% of commercial service imports),130,4.504504504504505,WDIPrivateSectorIndicator
Travel services (% of commercial service exports),122,4.227304227304227,WDIPrivateSectorIndicator
Transport services (% of commercial service imports),119,4.123354123354123,WDIPrivateSectorIndicator
Travel services (% of commercial service imports),113,3.9154539154539156,WDIPrivateSectorIndicator
"Computer, communications and other services (% of commercial service exports)",111,3.8461538461538463,WDIPrivateSectorIndicator
"Computer, communications and other services (% of commercial service imports)",110,3.8115038115038113,WDIPrivateSectorIndicator
Commercial service exports (current US$),72,2.494802494802495,WDIPrivateSectorIndicator
Commercial service imports (current US$),72,2.494802494802495,WDIPrivateSectorIndicator
Export unit value index (2015 = 100),22,0.7623007623007623,WDIPrivateSectorIndicator
Import unit value index (2015 = 100),22,0.7623007623007623,WDIPrivateSectorIndicator
Merchandise trade (% of GDP),0,0.0,WDIPrivateSectorIndicator
Control of Corruption: Estimate,0,0.0,WDIPublicSectorIndicator
Control of Corruption: Number of Sources,0,0.0,WDIPublicSectorIndicator
Control of Corruption: Percentile Rank,0,0.0,WDIPublicSectorIndicator
Government Effectiveness: Estimate,0,0.0,WDIPublicSectorIndicator
Government Effectiveness: Number of Sources,0,0.0,WDIPublicSectorIndicator
Government Effectiveness: Percentile Rank,0,0.0,WDIPublicSectorIndicator
Government Effectiveness: Standard Error,0,0.0,WDIPublicSectorIndicator
Political Stability and Absence of Violence/Terrorism: Estimate,0,0.0,WDIPublicSectorIndicator
Political Stability and Absence of Violence/Terrorism: Number of Sources,0,0.0,WDIPublicSectorIndicator
Political Stability and Absence of Violence/Terrorism: Percentile Rank,0,0.0,WDIPublicSectorIndicator
Political Stability and Absence of Violence/Terrorism: Standard Error,0,0.0,WDIPublicSectorIndicator
Refugee population by country or territory of asylum,369,12.785862785862786,WDISocialIndicator
"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",144,4.98960498960499,WDISocialIndicator
"Share of youth not in education, employment or training, male (% of male youth population) (modeled ILO estimate)",144,4.98960498960499,WDISocialIndicator
"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",144,4.98960498960499,WDISocialIndicator
