Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Regulatory Quality: Number of Sources,11,1.067,0.0,float64,1020,12,11,1.0,12.0,7.972,9.0,2.375,-0.164,-0.775
Regulatory Quality: Percentile Rank,11,1.067,0.097,float64,1020,623,226,0.0,65.174,29.474,28.674,14.876,-0.879,0.143
"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",11,1.067,1.164,float64,1020,432,228,0.0,54.412,18.89,17.143,12.196,-0.384,0.576
"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",11,1.067,0.0,float64,1020,500,221,0.995,78.607,40.532,41.429,16.062,-0.553,-0.223
Regulatory Quality: Standard Error,11,1.067,0.0,float64,1020,590,209,0.146,0.382,0.199,0.191,0.041,3.564,1.806
Rule of Law: Estimate,11,1.067,0.0,float64,1020,1018,2,-1.87,1.184,-0.588,-0.668,0.594,-0.146,0.583
Rule of Law: Number of Sources,11,1.067,0.0,float64,1020,17,17,2.0,18.0,11.619,12.0,3.645,-0.362,-0.565
Rule of Law: Percentile Rank,11,1.067,0.0,float64,1020,599,269,0.478,88.517,32.068,28.302,20.016,-0.678,0.514
"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",11,1.067,1.455,float64,1020,462,236,0.0,73.333,23.164,17.856,18.226,-0.675,0.712
"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",11,1.067,0.0,float64,1020,541,259,1.422,94.258,41.121,39.906,20.507,-0.553,0.383
Rule of Law: Standard Error,11,1.067,0.0,float64,1020,763,145,0.126,0.373,0.173,0.157,0.047,5.012,2.285
Rural population,11,1.067,0.0,float64,1020,1020,0,54257.0,915129968.0,33437842.284,5426431.5,122583126.687,41.442,6.418
Rural population (% of total population),11,1.067,0.0,float64,1020,1015,5,7.98,87.022,56.788,59.12,18.743,-0.45,-0.568
Rural population growth (annual %),11,1.067,0.0,float64,1020,1020,0,-6.81,8.698,0.945,1.066,1.208,8.099,-0.921
Safely Managed Drinking Water,11,1.067,54.413,float64,1020,3,3,0.0,1.0,0.438,0.0,0.49,-1.917,0.249
"Secondary education, duration (years)",11,1.067,0.0,float64,1020,5,5,4.0,8.0,6.437,7.0,0.801,0.141,-0.421
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),11,1.067,1.067,float64,1020,18,15,0.0,100.0,52.064,50.0,26.801,-1.165,0.278
Urban population,11,1.067,0.0,float64,1020,1020,0,23979.0,522939628.0,19396735.238,4394213.5,60538643.853,40.803,6.209
Urban population (% of total population),11,1.067,0.0,float64,1020,1015,5,12.978,92.02,43.212,40.88,18.743,-0.45,0.568
Urban population growth (annual %),11,1.067,0.0,float64,1020,1020,0,-3.032,10.516,2.815,2.852,1.416,2.801,0.125
Voice and Accountability: Estimate,11,1.067,0.0,float64,1020,1019,1,-2.233,1.148,-0.486,-0.504,0.732,-0.584,0.122
Voice and Accountability: Number of Sources,11,1.067,0.0,float64,1020,19,19,1.0,19.0,11.275,12.0,4.068,-0.271,-0.431
Voice and Accountability: Percentile Rank,11,1.067,0.097,float64,1020,630,264,0.0,86.957,34.823,32.29,20.281,-0.483,0.463
"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",11,1.067,1.649,float64,1020,505,242,0.0,71.981,28.406,27.494,18.261,-0.648,0.411
"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",11,1.067,0.0,float64,1020,561,250,1.442,99.515,41.249,37.441,22.27,-0.269,0.558
Voice and Accountability: Standard Error,11,1.067,0.0,float64,1020,765,127,0.104,0.295,0.141,0.128,0.035,3.185,1.93
Women Business and the Law Index Score (scale 1-100),11,1.067,0.0,float64,1020,76,71,26.25,95.0,63.923,63.75,14.546,-0.398,-0.376
Export unit value index (2015 = 100),12,1.164,0.0,float64,1019,552,236,44.0,255.8,107.441,103.3,25.038,5.033,1.489
Import unit value index (2015 = 100),12,1.164,0.0,float64,1019,499,245,47.2,174.6,105.051,104.0,17.25,1.063,0.077
GDP (current LCU),13,1.261,0.0,float64,1018,1018,0,141530959.618,1.02218146941153e+16,118265829501296.53,574663350000.0,782554541381904.2,94.964,9.416
GDP (current US$),13,1.261,0.0,float64,1018,1018,0,104085862.435,3567551674623.01,91519675908.573,17335413023.326,313833371947.723,61.726,7.384
GDP per capita (current LCU),13,1.261,0.0,float64,1018,1018,0,340.74,101859406.261,2297647.699,81956.451,9366296.321,58.369,7.126
GDP per capita (current US$),13,1.261,0.0,float64,1018,1018,0,224.509,9174.537,2068.492,1756.917,1249.55,4.687,1.585
GNI (current LCU),17,1.649,0.0,float64,1014,1014,0,205512737.126,9687480143674500.0,113877656579136.81,545106944500.0,746514733030776.5,93.77,9.353
GNI (current US$),17,1.649,0.0,float64,1014,1014,0,111486142.041,3515454309538.94,90179648983.105,16752594624.554,310985437102.377,61.131,7.349
GNI per capita (current LCU),17,1.649,0.0,float64,1014,1014,0,120.368,96534813.546,2220033.265,79889.844,8955953.872,57.483,7.061
Net primary income (Net income from abroad) (current LCU),19,1.843,0.0,float64,1012,1011,1,-534334550448321.0,12165359597000.0,-4759269782520.225,-5058500000.0,38254399756492.48,109.476,-10.178
Net primary income (Net income from abroad) (current US$),19,1.843,0.0,float64,1012,1012,0,-52097365084.064,48008194438.71,-885293433.845,-208018450.704,6537421317.502,19.872,0.174
"Personal remittances, received (current US$)",19,1.843,2.813,float64,1012,972,5,0.0,119526055008.102,4525408311.76,598950549.934,11160846097.5,35.806,5.272
"PPP conversion factor, GDP (LCU per international $)",20,1.94,0.0,float64,1011,1011,0,0.192,8118.292,359.94,18.554,1064.778,24.314,4.666
Price level ratio of PPP conversion factor (GDP) to market exchange rate,20,1.94,0.0,float64,1011,1011,0,0.136,1.123,0.432,0.401,0.17,2.071,1.398
"Tuberculosis case detection rate (%, all forms)",20,1.94,0.0,float64,1011,74,70,19.0,94.0,62.504,62.0,16.772,-0.671,-0.364
"Personal remittances, received (% of GDP)",21,2.037,2.813,float64,1010,982,1,0.0,49.895,7.692,5.121,8.321,2.96,1.67
GDP (constant 2015 US$),22,2.134,0.0,float64,1009,1006,3,132497222.744,3215973434046.11,94356458898.347,18491844275.711,299704022671.451,52.885,6.824
GDP (constant LCU),22,2.134,0.0,float64,1009,1006,3,181851228.008,5830724947794300.0,88152267755082.56,551424999600.0,526233843282581.06,66.755,7.979
GDP deflator (base year varies by country),22,2.134,0.0,float64,1009,971,1,3.936,56369.06,220.487,102.647,1797.176,947.968,30.363
GDP deflator: linked series (base year varies by country),22,2.134,0.0,float64,1009,971,1,6.169,56369.06,221.053,102.942,1797.125,948.038,30.365
GDP per capita (constant 2015 US$),22,2.134,0.0,float64,1009,1009,0,463.33,8955.543,2136.351,1830.237,1240.804,6.506,1.957
GDP per capita (constant LCU),22,2.134,0.0,float64,1009,1009,0,391.129,58102616.71,1697553.074,73606.257,6022197.448,40.839,5.993
"GDP per capita, PPP (constant 2021 international $)",22,2.134,0.0,float64,1009,1009,0,1878.287,17390.758,5911.414,5249.549,3103.536,1.294,1.272
"GDP per capita, PPP (current international $)",22,2.134,0.0,float64,1009,1009,0,1290.248,21985.488,5121.062,4173.939,3121.274,3.752,1.684
"GDP, PPP (constant 2021 international $)",22,2.134,0.0,float64,1009,1006,3,211355330.788,13172809037823.4,335372086269.424,49373702578.773,1208987789751.586,57.566,7.224
"GDP, PPP (current international $)",22,2.134,0.0,float64,1009,1009,0,151702692.387,14619765554295.4,298672082940.716,43796805025.956,1125227831684.687,73.798,7.978
GDP: linked series (current LCU),22,2.134,0.0,float64,1009,1009,0,141530959.618,1.02218146941153e+16,121308255263713.75,601732245499.998,789477949389458.1,92.353,9.267
GDP growth (annual %),23,2.231,0.097,float64,1008,1008,0,-21.4,31.726,4.206,4.471,4.337,7.285,-0.787
GDP per capita growth (annual %),23,2.231,0.0,float64,1008,1008,0,-21.695,29.232,2.312,2.638,4.254,6.303,-0.624
"Inflation, GDP deflator (annual %)",23,2.231,0.0,float64,1008,1008,0,-21.165,921.536,9.604,5.308,38.131,387.236,18.13
"Inflation, GDP deflator: linked series (annual %)",23,2.231,0.0,float64,1008,1008,0,-21.165,921.536,9.232,5.24,37.862,399.116,18.523
"GNI per capita, PPP (current international $)",26,2.522,0.0,float64,1005,589,249,760.0,21540.0,5128.249,4290.0,3018.911,3.773,1.656
"GNI, PPP (current international $)",26,2.522,0.0,float64,1005,1005,0,220282796.258,14406271446012.9,295003399563.471,42079218680.049,1114472192082.384,73.055,7.939
GNI: linked series (current LCU),26,2.522,0.0,float64,1005,1005,0,205512737.126,9687480143674490.0,116901537918155.73,581230904700.0,753376072422681.0,91.067,9.198
Net secondary income (Net current transfers from abroad) (current LCU),27,2.619,0.0,float64,1004,1004,0,-548184434200.0,310543451725185.0,4615642465869.747,29725794750.0,25691803341430.164,58.393,7.366
Net secondary income (Net current transfers from abroad) (current US$),27,2.619,0.0,float64,1004,1004,0,-2063060088.312,106456893789.18,4074609388.387,652024119.036,10339364377.195,33.976,5.198
"GNI per capita, Atlas method (current US$)",28,2.716,0.0,float64,1003,384,252,120.0,8700.0,2067.019,1760.0,1242.255,3.764,1.442
"GNI, Atlas method (current US$)",28,2.716,0.0,float64,1003,1003,0,108188329.85,3649300224484.68,90678640016.033,16952275649.57,313487619639.687,62.519,7.408
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),31,3.007,1.94,float64,1000,973,9,0.0,2955.182,69.235,7.609,296.808,52.794,7.123
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),31,3.007,1.94,float64,1000,981,1,0.0,5.044,1.025,0.71,0.926,3.726,1.899
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),31,3.007,1.94,float64,1000,815,48,0.0,237.901,6.264,0.707,23.503,48.612,6.672
Merchandise exports (current US$),31,3.007,0.0,float64,1000,893,62,2000000.0,453415000000.0,17402004000.0,4183000000.0,48879420337.608,33.895,5.526
Merchandise imports (current US$),31,3.007,0.0,float64,1000,964,36,41000000.0,720441000000.0,22836344000.0,5661500000.0,66296835176.561,44.961,6.243
Merchandise trade (% of GDP),31,3.007,0.0,float64,1000,1000,0,16.514,263.334,61.346,54.428,31.965,5.482,1.764
